HIP,HD,Teff,logg,NaH,SiH,TiH,FeH,NiH
15371,HD20807,5845,4.54,-0.28,-0.18,-0.2,-0.26,-0.28
15442,HD20619,5703,4.54,-0.25,-0.19,-0.17,-0.21,-0.26
15457,HD20630,5742,4.49,0.04,0.06,0.04,0.12,0.05
15510,HD20794,5401,4.62,-0.29,-0.15,-0.14,-0.41,-0.35
15527,HD20782,5758,4.35,-0.14,-0.04,-0.06,-0.05,-0.11
15669,HD20675,6577,4.28,0.2,0.14,0.16,0.21,0.11
15776,HD21019,5529,4.05,-0.4,-0.35,-0.22,-0.36,-0.4
16107,HD21313,5989,4.30,0.28,0.2,0.16,0.19,0.22
16115,HD22104,5848,4.35,0.52,0.38,0.29,0.34,0.43
16405,HD21774,5764,4.39,0.24,0.23,0.19,0.26,0.27
16517,HD21847,6341,4.33,0.14,0.17,0.13,0.2,0.13
16537,HD22049,5146,4.57,-0.12,-0.12,-0.05,-0.03,-0.11
16641,HD22072,5027,3.65,-0.22,-0.24,-0.08,-0.25,-0.25
16727,HD22282,5475,4.50,0.14,0.14,0.12,0.16,0.13
16852,HD22484,6038,4.21,-0.03,-0.01,0.04,-0.02,-0.02
17027,HD22713,5065,3.79,0.05,-0.01,0.02,0.08,0.08
17054,HD23127,5752,4.15,0.62,0.4,0.32,0.34,0.47
17096,HD23079,5927,4.34,-0.21,-0.11,-0.06,-0.15,-0.19
17147,HD22879,5688,4.41,-0.85,-0.59,-0.55,-0.91,-0.95
17183,HD22918,4939,3.84,-0.04,-0.01,0.08,0.04,0.02
17378,HD23249,5095,3.98,0.16,0.08,0.09,0.16,0.14
17420,HD23356,4991,4.59,-0.05,-0.06,-0.07,-0.06,-0.13
17439,HD23484,5155,4.46,0.05,0.05,0.03,0.12,0.06
17666,HD23439,5070,4.71,-1.01,-0.55,-0.67,-1.03,-0.98
17747,HD23596,5904,3.97,0.33,0.21,0.15,0.22,0.27
17819,HD24112,6124,4.22,0.22,0.13,0.14,0.14,0.15
17960,HD24040,5853,4.36,0.23,0.19,0.23,0.21,0.24
18106,HD24213,6044,4.23,0.04,0.1,0.12,0.09,0.07
18208,HD24365,5205,3.70,-0.25,-0.3,-0.17,-0.21,-0.26
18267,HD24496,5572,4.56,-0.02,-0.01,0,0.01,-0.03
18309,HD24341,5459,4.07,-0.58,-0.42,-0.3,-0.52,-0.54
18324,HD24238,4973,4.59,-0.41,-0.26,-0.23,-0.51,-0.47
18388,HD24727,6211,4.10,-0.21,-0.12,-0.06,-0.11,-0.2
18432,HD24892,5363,4.12,-0.32,-0.21,-0.12,-0.28,-0.31
18606,HD25069,4994,3.53,0.22,-0.01,0.16,0.22,0.19
18844,HD25874,5699,4.41,0.04,0.03,-0.01,-0.01,-0.01
18870,HD25587,6118,4.14,-0.09,-0.05,-0.02,-0.05,-0.11
19024,HD25682,5477,4.53,0.02,0.08,0.07,0.09,0.04
19070,HD25790,5630,3.94,0.1,0.08,0.16,0.15,0.15
19076,HD25680,5874,4.52,0.02,0.06,0.02,0.1,0
19148,HD25825,5941,4.38,-0.03,0.08,-0.01,0.07,0.05
19232,HD26151,5348,4.47,0.34,0.25,0.19,0.26,0.26
19233,HD26491,5816,4.37,-0.09,-0.05,-0.08,-0.07,-0.08
19301,HD25918,5533,4.52,-0.18,-0.06,-0.05,-0.05,-0.12
19422,HD25665,4936,4.51,0.04,-0.01,-0.06,-0.03,-0.06
19467,HD26754,6025,4.33,-0.37,-0.28,-0.24,-0.36,-0.4
19788,HD26794,4909,4.74,0.02,0.13,0.09,0.1,0.05
19849,HD26965,5151,4.57,-0.17,-0.11,-0.03,-0.28,-0.24
19911,HD26990,5748,4.39,-0.1,-0.12,0.01,-0.04,-0.16
19921,HD27442,4846,3.78,0.43,0.28,0.17,0.42,0.5
20552,HD28255,5897,4.45,0,0.05,0.02,0.05,0.03
20638,HD28187,5781,4.56,-0.34,-0.21,-0.11,-0.42,-0.39
20800,HD28005,5819,4.38,0.5,0.33,0.3,0.32,0.39
20899,HD28344,6005,4.43,0.11,0.13,0.16,0.19,0.14
21010,HD28447,5604,4.09,-0.11,-0.04,0.01,-0.03,-0.05
21158,HD28676,5888,4.28,0.08,0.07,0.1,0.07,0.08
21272,HD28946,5321,4.55,-0.19,-0.13,-0.14,-0.15,-0.2
21436,HD29150,5675,4.41,0,-0.01,-0.01,-0.01,-0.02
21654,HD29461,5913,4.52,0.19,0.2,0.2,0.25,0.21
21703,HD29528,5524,4.50,0.11,0.14,0.17,0.17,0.11
21850,HD30177,5607,4.31,0.52,0.38,0.3,0.39,0.46
21889,HD30295,5417,4.50,0.32,0.31,0.23,0.28,0.29
21923,HD29836,5761,4.25,0.19,0.22,0.26,0.26,0.27
21961,HD29859,6155,3.89,0.03,0.08,0.19,0.11,0.03
21988,HD29883,4952,4.61,-0.23,-0.11,-0.12,-0.18,-0.22
22263,HD30495,5759,4.39,-0.14,-0.03,-0.04,0.01,-0.09
22319,HD30508,5206,3.79,-0.2,-0.14,-0.16,-0.08,-0.12
22336,HD30562,5937,4.23,0.23,0.22,0.28,0.26,0.27
22429,HD30339,6074,4.37,0.35,0.25,0.24,0.26,0.3
22449,HD30652,6424,4.29,0.01,0.01,0.02,0.03,-0.05
22451,HD30876,5061,4.63,-0.16,-0.07,-0.11,-0.06,-0.14
22576,HD30708,5766,4.36,0.2,0.17,0.19,0.19,0.2
22596,HD30649,5778,4.44,-0.43,-0.3,-0.21,-0.49,-0.48
22633,HD30825,5176,3.71,-0.22,-0.25,-0.1,-0.17,-0.2
22650,HD30736,6160,3.92,0.47,0.33,0.25,0.36,0.27
22826,HD31253,6065,4.10,0.12,0.13,0.19,0.16,0.15
22905,HD31527,5879,4.39,-0.17,-0.13,-0.15,-0.19,-0.21
22907,HD31560,4744,4.88,0.08,0.19,0.02,0.14,0.15
22919,HD31412,6096,4.37,0,0.04,0.07,0.05,0.02
22953,HD31827,5614,4.39,0.55,0.41,0.33,0.41,0.47
23286,HD31966,5781,4.23,0.05,0.1,0.18,0.13,0.12
23311,HD32147,4827,4.69,0.35,0.23,0.21,0.33,0.35
23437,HD32778,5652,4.55,-0.55,-0.45,-0.44,-0.56,-0.57
23776,HD34297,5507,4.56,-0.53,-0.36,-0.35,-0.65,-0.59
23835,HD32923,5694,4.20,-0.2,-0.11,-0.04,-0.17,-0.19
23852,HD33021,5804,4.31,-0.23,-0.06,0.08,-0.14,-0.15
23884,HD32963,5763,4.43,0.12,0.09,0.08,0.08,0.09
23926,HD33473,5726,3.93,-0.17,-0.1,-0.04,-0.1,-0.14
24110,HD33811,5546,4.43,0.38,0.33,0.23,0.29,0.35
24130,HD33555,4889,3.50,-0.03,-0.07,0.02,0.05,0.05
24162,HD33608,6416,4.08,0.25,0.23,0.19,0.21,0.16
24205,HD33636,5904,4.43,-0.22,-0.09,-0.08,-0.13,-0.19
24332,HD33632,6141,4.43,-0.28,-0.16,-0.13,-0.18,-0.26
24681,HD34445,5837,4.21,0.18,0.12,0.12,0.14,0.14
24786,HD34721,5999,4.25,-0.1,-0.06,-0.02,-0.07,-0.09
24813,HD34411,5911,4.37,0.1,0.11,0.1,0.12,0.11
24864,HD34745,6070,4.29,-0.19,-0.07,-0.05,-0.1,-0.16
25094,HD34575,5651,4.45,0.34,0.29,0.28,0.32,0.31
25388,HD35627,6069,4.24,-0.07,0.02,0.09,0.03,-0.01
25421,HD35854,4948,4.61,-0.05,-0.05,-0.06,-0.04,-0.08
25486,HD35850,6496,5.02,-0.24,0.07,0.61,0.29,0.12
25490,HD35974,5888,3.99,-0.18,-0.15,-0.06,-0.16,-0.2
25580,HD35681,6262,4.20,-0.07,0.06,0.07,0.09,0
25616,HD36108,5892,4.25,-0.3,-0.18,-0.16,-0.21,-0.26
25662,HD35956,5843,4.22,-0.16,-0.13,-0.11,-0.22,-0.18
25873,HD36308,5612,4.82,0.04,0.02,0.15,0.15,0.04
25963,HD36889,5846,4.09,0.23,0.14,0.15,0.16,0.18
26273,HD37213,5453,4.04,-0.5,-0.4,-0.29,-0.44,-0.49
26380,HD38283,5998,4.23,-0.15,-0.11,-0.07,-0.15,-0.18
26381,HD37124,5500,4.60,-0.33,-0.21,-0.18,-0.44,-0.4
26394,HD39091,5950,4.36,0.05,0.07,0.02,0.05,0.05
26505,HD37008,4975,4.55,-0.39,-0.25,-0.23,-0.49,-0.44
26653,HD37216,5364,4.44,-0.17,-0.08,-0.1,-0.05,-0.15
26689,HD37588,6144,4.07,-0.22,-0.14,-0.12,-0.17,-0.24
26737,HD37962,5651,4.41,-0.27,-0.2,-0.22,-0.23,-0.29
26779,HD37394,5351,4.60,0.15,0.07,0.08,0.19,0.14
26935,HD38110,5805,4.24,0.22,0.18,0.15,0.17,0.2
27075,HD38382,6030,4.32,-0.04,0.01,-0.05,0,-0.02
27207,HD38230,5174,4.53,0,0.01,0.01,-0.08,-0.08
27225,HD37006,5549,4.58,-0.15,-0.04,-0.03,0.02,-0.09
27244,HD38973,5995,4.40,0.02,0.05,0.01,0.03,0.01
27253,HD38529,5697,4.05,0.51,0.36,0.36,0.45,0.45
27417,HD38949,6051,4.55,-0.23,-0.08,-0.09,-0.05,-0.15
27435,HD38858,5726,4.51,-0.27,-0.18,-0.22,-0.23,-0.27
27491,HD39213,5457,4.36,0.41,0.36,0.26,0.36,0.41
27641,HD39156,5279,3.86,-0.09,-0.1,-0.01,-0.02,-0.06
27887,HD40307,4827,4.63,-0.35,-0.19,-0.22,-0.28,-0.3
27913,HD39587,5882,4.34,-0.07,0.03,-0.05,-0.01,-0.1
27918,HD39715,4798,4.75,-0.08,0.03,-0.09,-0.04,-0.09
28066,HD39881,5718,4.42,-0.09,-0.02,0.03,-0.13,-0.12
28267,HD40397,5542,4.59,-0.09,-0.02,0.03,-0.1,-0.1
28634,HD40650,5948,4.27,-0.13,-0.09,-0.09,-0.1,-0.13
28767,HD40979,6089,4.30,0.15,0.16,0.12,0.17,0.14
28913,HD42024,6218,4.21,0.23,0.18,0.17,0.18,0.2
29271,HD43834,5587,4.50,0.13,0.1,0.05,0.09,0.1
29349,HD42902,5908,4.23,0.38,0.27,0.23,0.27,0.33
29432,HD42618,5747,4.43,-0.13,-0.09,-0.11,-0.11,-0.13
29650,HD43042,6418,4.15,0.02,0.03,0,0.05,-0.04
29673,HD44447,6022,4.32,-0.24,-0.17,-0.13,-0.21,-0.24
29761,HD42250,5396,4.60,0,0.08,0.08,0.01,-0.01
29788,HD44120,6003,4.19,0.1,0.1,0.09,0.1,0.1
29843,HD43745,6095,4.02,0.13,0.09,0.16,0.13,0.11
29860,HD43587,5892,4.33,-0.06,-0.05,-0.04,-0.04,-0.04
30023,HD43523,6118,4.41,-0.06,0.02,0.03,0.05,-0.02
30067,HD43947,5933,4.37,-0.31,-0.23,-0.2,-0.29,-0.34
30104,HD44594,5844,4.41,0.14,0.16,0.12,0.15,0.16
30243,HD44420,5796,4.35,0.47,0.3,0.23,0.29,0.36
30344,HD44821,5783,4.53,0.03,0.05,0.06,0.11,0.04
30476,HD45289,5737,4.39,-0.03,0.04,0.07,-0.02,-0.01
30480,HD45701,5886,4.28,0.29,0.18,0.13,0.2,0.21
30503,HD45184,5810,4.37,-0.02,0.04,0.01,0.04,-0.01
30545,HD45067,6044,4.08,-0.11,-0.05,0.05,-0.03,-0.09
30552,HD44985,5929,4.29,-0.18,-0.08,-0.07,-0.09,-0.14
30711,HD45588,6168,4.29,-0.07,0.01,0.09,0.04,-0.01
30860,HD45350,5616,4.32,0.27,0.27,0.24,0.29,0.26
30862,HD45391,5624,4.49,-0.41,-0.4,-0.41,-0.5,-0.51
31246,HD46375,5285,4.53,0.36,0.25,0.22,0.24,0.28
31655,HD47157,5733,4.43,0.5,0.35,0.31,0.34,0.41
31660,HD47127,5605,4.38,0.03,0.11,0.1,0.1,0.08
32010,HD47752,4707,4.72,-0.22,-0.01,-0.13,-0.1,-0.15
32322,HD48938,5937,4.31,-0.49,-0.36,-0.29,-0.43,-0.48
32480,HD48682,6064,4.33,0,0.06,0.07,0.12,0.08
32874,HD49736,5961,4.34,-0.08,-0.05,-0.01,-0.07,-0.08
32916,HD49674,5662,4.56,0.29,0.27,0.25,0.31,0.3
32970,HD50499,6070,4.37,0.42,0.32,0.3,0.34,0.37
32984,HD50281,4758,4.92,-0.06,0.11,0.02,0.14,0.08
33094,HD50806,5683,4.35,0.07,0.12,0.17,0.07,0.09
33109,HD50639,6098,4.29,-0.06,-0.02,-0.02,-0.02,-0.05
33212,HD50554,5929,4.29,-0.12,-0.05,-0.05,-0.07,-0.12
33277,HD50692,5891,4.36,-0.2,-0.14,-0.14,-0.18,-0.19
33324,HD51929,5805,4.43,-0.58,-0.4,-0.35,-0.64,-0.63
33382,HD51219,5642,4.46,-0.03,0,0.02,0.01,-0.02
33468,HD52447,6051,4.23,0.32,0.28,0.19,0.24,0.3
33537,HD51419,5637,4.46,-0.44,-0.29,-0.26,-0.4,-0.43
33719,HD52265,6076,4.26,0.19,0.18,0.2,0.19,0.19
33848,HD52456,5109,4.37,0.03,-0.06,-0.09,0.01,0.02
34017,HD52711,5889,4.41,-0.13,-0.1,-0.12,-0.1,-0.15
34065,HD53705,5827,4.44,-0.19,-0.12,-0.07,-0.21,-0.21
34069,HD53706,5245,4.57,-0.23,-0.16,-0.18,-0.28,-0.27
34239,HD53665,6225,4.05,0.11,0.13,0.17,0.17,0.13
34739,HD55720,5486,4.58,-0.26,-0.16,-0.13,-0.3,-0.29
34805,HD56560,5544,4.24,0.07,0.09,0.13,0.05,0.05
34879,HD55693,5869,4.35,0.34,0.25,0.17,0.25,0.29
35139,HD56274,5681,4.47,-0.55,-0.46,-0.46,-0.55,-0.59
35209,HD56303,5895,4.24,0.09,0.12,0.12,0.13,0.13
35265,HD56124,5848,4.46,-0.04,0,-0.01,0.01,-0.02
36210,HD59468,5585,4.44,0.02,0.05,-0.01,0.02,0.02
36249,HD58781,5604,4.45,0.14,0.11,0.08,0.1,0.1
36704,HD59747,5177,4.62,-0.02,0.02,0.03,0.06,-0.03
36827,HD60491,5091,4.63,-0.26,-0.13,-0.18,-0.17,-0.28
37279,HD61421,6543,3.99,0.13,0.01,0.08,0,-0.05
37309,HD61686,5871,4.44,0.42,0.31,0.3,0.3,0.36
37349,HD61606,4964,4.71,-0.02,0.12,-0.04,0.07,-0.01
38179,HD64184,5635,4.55,-0.13,-0.06,-0.02,-0.21,-0.18
38216,HD63754,6096,4.07,0.21,0.18,0.22,0.22,0.22
38228,HD63433,5742,4.56,-0.09,-0.01,0.07,0.07,-0.05
38657,HD64468,4936,4.47,0.19,0.1,0.1,0.07,0.07
38908,HD65907,5949,4.63,-0.23,-0.12,-0.07,-0.34,-0.29
38931,HD65277,4741,4.76,-0.26,-0.02,-0.13,-0.16,-0.18
39064,HD65430,5183,4.55,-0.07,-0.03,-0.01,-0.12,-0.12
39157,HD65583,5279,4.76,-0.58,-0.36,-0.37,-0.69,-0.65
39342,HD67199,5135,4.53,0.05,0.01,-0.02,0.03,0.02
39417,HD66428,5752,4.49,0.41,0.29,0.28,0.31,0.33
39710,HD67458,5838,4.45,-0.32,-0.16,-0.12,-0.19,-0.23
39720,HD67556,6198,4.35,0.26,0.21,0.16,0.19,0.18
39780,HD67228,5862,4.02,0.27,0.16,0.19,0.2,0.23
39822,HD66171,5711,4.41,-0.35,-0.24,-0.23,-0.31,-0.34
40023,HD67767,5344,3.88,-0.04,-0.08,0.06,0.06,-0.01
40118,HD68017,5552,4.65,-0.35,-0.2,-0.17,-0.44,-0.39
40133,HD68168,5724,4.40,0.08,0.1,0.1,0.12,0.11
40283,HD68978,5919,4.43,-0.05,0.01,0,0.02,-0.01
40438,HD69655,5949,4.39,-0.18,-0.16,-0.16,-0.2,-0.21
40506,HD69565,5205,3.68,0,-0.08,0.04,0.05,0.01
40687,HD68988,5960,4.41,0.48,0.34,0.32,0.32,0.39
40693,HD69830,5361,4.46,-0.06,-0.05,-0.08,-0.06,-0.09
40761,HD69809,5817,4.30,0.36,0.28,0.23,0.27,0.31
40843,HD69897,6294,4.25,-0.28,-0.17,-0.18,-0.23,-0.28
40858,HD70110,6023,4.12,0.15,0.17,0.2,0.15,0.18
40952,HD70642,5706,4.43,0.29,0.19,0.13,0.16,0.21
41134,HD70889,6016,4.41,0.01,0.07,0.03,0.09,0.04
41226,HD70843,6208,4.17,0.21,0.17,0.16,0.16,0.16
41254,HD72234,5693,3.89,-0.17,-0.13,-0.09,-0.12,-0.15
41317,HD71334,5716,4.48,-0.12,-0.05,-0.04,-0.06,-0.08
41479,HD71479,5953,4.30,0.26,0.2,0.2,0.21,0.25
41484,HD71148,5818,4.39,-0.04,0,0,0.02,-0.01
41844,HD71881,5822,4.29,0.03,-0.02,-0.07,-0.05,-0.03
41926,HD72673,5243,4.67,-0.35,-0.29,-0.3,-0.37,-0.4
41968,HD72528,6117,4.22,-0.09,0.01,0.02,0.02,-0.05
42011,HD72769,5653,4.40,0.39,0.29,0.24,0.31,0.35
42030,HD72659,5920,4.24,-0.02,-0.01,0.05,0,-0.02
42074,HD72760,5375,4.57,0,0.05,0.09,0.12,0.04
42112,HD72780,6266,4.37,0.05,0.12,0.15,0.15,0.11
42123,HD73121,6055,4.22,0.08,0.08,0.1,0.07,0.07
42282,HD73526,5584,4.16,0.25,0.26,0.27,0.25,0.29
42291,HD73524,5959,4.41,0.03,0.13,0.1,0.12,0.1
42333,HD73350,5802,4.48,0.02,0.06,0.07,0.12,0.05
42403,HD73344,6173,4.41,0.14,0.14,0.13,0.13,0.13
42488,HD73668,5941,4.41,-0.07,0,0,0,-0.04
42499,HD73667,4990,4.65,-0.44,-0.29,-0.28,-0.57,-0.52
42634,HD74014,5605,4.43,0.31,0.24,0.22,0.26,0.27
42723,HD74156,6068,4.26,0.11,0.1,0.14,0.13,0.13
42922,HD74868,6176,4.27,0.29,0.26,0.21,0.24,0.26
43177,HD75289,6095,4.33,0.14,0.22,0.19,0.22,0.22
43297,HD75302,5721,4.49,0.01,0.06,0.07,0.1,0.05
43410,HD75332,6258,4.41,0.03,0.08,0.09,0.14,0.06
43587,HD75732,5235,4.45,0.49,0.33,0.23,0.31,0.37
43634,HD75782,6029,4.06,0.33,0.23,0.27,0.29,0.3
43686,HD76700,5668,4.30,0.35,0.33,0.3,0.35,0.37
43726,HD76151,5790,4.55,0.14,0.1,0.04,0.11,0.09
43852,HD76218,5465,4.72,-0.11,-0.01,0.09,0.07,-0.04
44089,HD76752,5704,4.29,0.05,0.04,0.03,0.03,0.02
44137,HD76909,5740,4.39,0.51,0.36,0.34,0.38,0.43
44458,HD77407,6002,4.46,-0.02,0.02,0.06,0.1,0
44713,HD78429,5724,4.31,0.05,0.08,0.07,0.08,0.05
44897,HD78366,6014,4.54,-0.04,0.03,-0.03,0.08,-0.02
45183,HD80913,5983,4.05,-0.67,-0.57,-0.46,-0.68,-0.76
45621,HD80133,5212,4.59,-0.01,0.06,-0.02,0.08,-0.02
45737,HD80367,5098,4.51,0.05,0.06,0.07,0,0.01
45807,HD80635,5802,4.14,0.55,0.47,0.46,0.5,0.57
45982,HD80606,5573,4.44,0.47,0.32,0.21,0.34,0.36
46046,HD82114,5882,4.10,-0.02,0.02,0.08,0.03,0.03
46388,HD82082,6016,4.41,0.11,0.14,0.16,0.14,0.12
46580,HD82106,4868,4.80,-0.02,0.16,-0.02,0.11,0.01
46639,HD233641,6086,4.09,-0.26,-0.11,0.03,-0.08,-0.17
46816,HD82558,5062,5.12,0.05,0.43,0.08,0.33,0.12
47007,HD82943,5997,4.42,0.28,0.24,0.23,0.27,0.29
47202,HD83443,5453,4.49,0.57,0.39,0.28,0.36,0.44
47225,HD83529,5878,4.34,-0.35,-0.19,-0.15,-0.25,-0.27
47592,HD84117,6152,4.31,-0.09,-0.05,-0.07,-0.07,-0.12
48113,HD84737,5960,4.24,0.16,0.14,0.18,0.17,0.17
48376,HD85683,6126,4.28,-0.09,0.02,-0.03,0.02,-0.05
48423,HD85301,5725,4.62,0.03,0.1,0.15,0.19,0.13
48780,HD86264,6326,4.22,0.17,0.19,0.2,0.26,0.2
49024,HD86819,5988,4.26,-0.03,-0.02,-0.03,-0.05,-0.05
49081,HD86728,5700,4.29,0.31,0.23,-0.04,0.2,0.18
49350,HD87359,5676,4.49,-0.01,0.05,0.04,0.06,0.02
49366,HD87424,5069,4.64,-0.18,-0.04,-0.11,-0.07,-0.2
49680,HD87836,5774,4.31,0.46,0.33,0.32,0.36,0.4
49699,HD87883,4958,4.56,0.14,0.09,0.03,0.07,0.04
49756,HD88072,5751,4.40,0.01,0.01,-0.01,0.01,0.01
49769,HD88218,5837,4.10,-0.17,-0.12,-0.05,-0.14,-0.16
49942,HD88371,5630,4.50,-0.22,-0.09,-0.05,-0.31,-0.27
50075,HD88742,5949,4.41,-0.11,-0.04,-0.11,-0.05,-0.08
50139,HD88725,5581,4.55,-0.6,-0.44,-0.43,-0.7,-0.67
50316,HD88986,5838,4.23,0.03,0.07,0.11,0.09,0.06
50473,HD89307,5898,4.34,-0.19,-0.12,-0.12,-0.16,-0.19
50478,HD89391,4976,3.59,-0.11,-0.15,0.08,-0.09,-0.08
50505,HD89269,5586,4.44,-0.21,-0.15,-0.18,-0.2,-0.22
50786,HD89744,6291,4.07,0.26,0.22,0.29,0.26,0.23
50921,HD90156,5626,4.63,-0.29,-0.16,-0.17,-0.21,-0.25
50939,HD90125,4928,3.16,-0.14,-0.26,0,-0.02,-0.11
51257,HD90711,5466,4.50,0.43,0.28,0.27,0.3,0.32
51258,HD90722,5719,4.31,0.48,0.32,0.3,0.36,0.38
51386,HD90905,6148,4.57,-0.12,-0.01,0.04,0.07,-0.03
51459,HD90839,6126,4.34,-0.12,-0.07,-0.1,-0.07,-0.14
51579,HD91204,5914,4.29,0.31,0.21,0.19,0.21,0.25
51784,HD91638,6069,4.16,-0.32,-0.27,-0.28,-0.32,-0.37
52409,HD92788,5836,4.66,0.35,0.3,0.29,0.32,0.33
52462,HD92945,5183,4.76,-0.07,0.1,0.02,0.13,0
52472,HD92987,5774,4.06,0.06,0.06,0.07,0.05,0.05
52498,HD92855,6140,4.58,-0.33,-0.05,0,0,-0.11
52676,HD93385,5952,4.38,0,0.02,0.02,0.01,-0.01
52888,HD93745,5918,4.12,0.07,0.07,0.09,0.08,0.07
53196,HD94280,6032,4.23,0.05,0.09,0.05,0.08,0.07
53486,HD94765,5091,4.76,0.01,0.17,0.06,0.15,0.05
53721,HD95128,5882,4.38,0.04,0.06,0.03,0.04,0.04
53747,HD95188,5482,4.65,-0.11,-0.07,-0.01,-0.01,-0.1
54287,HD96423,5718,4.45,0.09,0.12,0.08,0.1,0.11
54347,HD96418,6216,4.05,-0.08,-0.02,0.03,0.01,-0.05
54383,HD96574,6044,4.21,-0.11,0.01,0.07,0.04,0
54400,HD96700,5865,4.41,-0.23,-0.14,-0.12,-0.18,-0.22
54582,HD97037,5868,4.34,-0.14,-0.06,-0.04,-0.08,-0.11
54614,HD97004,5617,4.51,0.42,0.29,0.32,0.31,0.34
54704,HD97343,5399,4.56,-0.06,0.03,0.04,-0.04,-0.05
54745,HD97334,5898,4.42,0.12,0.1,-0.01,0.09,0.04
54906,HD97658,5148,4.65,-0.3,-0.22,-0.24,-0.26,-0.32
55013,HD97998,5749,4.62,-0.37,-0.32,-0.33,-0.41,-0.43
55210,HD98281,5419,4.61,-0.24,-0.17,-0.15,-0.2,-0.25
55262,HD98388,6244,4.21,-0.06,0.07,0.08,0.09,0.02
55363,HD98553,6009,4.69,-0.41,-0.31,-0.21,-0.34,-0.39
55455,HD98697,6144,4.05,-0.06,-0.04,0.03,-0.03,-0.07
55459,HD98618,5812,4.42,0,0.03,0.02,0.03,0.02
55508,HD98744,6107,3.90,-0.57,-0.25,-0.12,-0.25,-0.34
55664,HD99109,5272,4.44,0.44,0.33,0.3,0.31,0.35
55846,HD99491,5502,4.58,0.42,0.33,0.28,0.34,0.34
55848,HD99492,4955,4.77,0.37,0.32,0.22,0.36,0.35
55900,HD99610,5706,4.49,0.29,0.21,0.16,0.23,0.23
56242,HD100180,5989,4.38,-0.07,0,-0.01,-0.01,-0.05
56257,HD100167,5915,4.38,-0.02,0.05,0,0.06,0.01
56452,HD100623,5189,4.68,-0.35,-0.29,-0.27,-0.37,-0.4
56809,HD101177,5883,4.37,-0.24,-0.17,-0.16,-0.19,-0.24
56830,HD101259,5067,3.51,-0.72,-0.58,-0.36,-0.69,-0.69
56960,HD101472,6191,4.43,-0.25,-0.08,-0.04,-0.03,-0.15
56997,HD101501,5488,4.43,-0.08,-0.06,-0.12,-0.03,-0.13
57217,HD101959,6049,4.39,-0.22,-0.11,-0.1,-0.11,-0.2
57271,HD102071,5279,4.53,-0.04,0.01,-0.05,0.01,0
57291,HD102117,5695,4.37,0.34,0.29,0.27,0.3,0.33
57349,HD102158,5725,4.49,-0.35,-0.21,-0.13,-0.47,-0.41
57443,HD102365,5630,4.57,-0.31,-0.21,-0.21,-0.33,-0.33
57488,HD102357,6222,4.33,-0.22,-0.1,-0.12,-0.06,-0.16
57507,HD102438,5558,4.52,-0.25,-0.19,-0.22,-0.28,-0.29
57629,HD102634,6215,4.10,0.29,0.2,0.17,0.18,0.18
57757,HD102870,6161,4.22,0.19,0.14,0.17,0.18,0.19
57939,HD103095,4950,4.65,-1.78,-1.21,-1.04,-1.37,-1.47
58067,HD103432,5641,4.52,-0.16,-0.12,-0.11,-0.12,-0.17
58318,HD103829,5750,4.36,0.15,0.11,0.09,0.12,0.13
58451,HD104067,4956,4.65,0.11,0.13,0.04,0.1,0.06
58576,HD104304,5565,4.56,0.41,0.27,0.19,0.27,0.34
58708,HD104556,5051,3.79,-0.31,-0.28,-0.06,-0.38,-0.35
58843,HD104800,5626,4.53,-0.81,-0.54,-0.51,-0.82,-0.83
59021,HD105113,5922,3.97,-0.11,-0.11,-0.01,-0.09,-0.12
59143,HD105328,5977,4.27,0.16,0.16,0.15,0.16,0.17
59175,HD105405,6145,4.23,-0.24,-0.18,-0.18,-0.21,-0.29
59280,HD105631,5462,4.57,0.16,0.13,0.16,0.2,0.15
59532,HD106116,5681,4.42,0.18,0.13,0.11,0.13,0.14
59572,HD106156,5492,4.58,0.26,0.19,0.21,0.23,0.22
59610,HD106252,5870,4.36,-0.07,-0.07,-0.05,-0.08,-0.09
59690,HD106423,6015,4.31,0.44,0.35,0.31,0.35,0.38
59707,HD106453,5669,4.49,0.07,0.06,0.07,0.1,0.06
60074,HD107146,5882,4.47,-0.18,-0.07,-0.03,-0.03,-0.13
60081,HD107148,5797,4.45,0.4,0.3,0.26,0.31,0.35
60098,HD107213,6274,4.06,0.29,0.25,0.29,0.28,0.26
60353,HD107705,6130,4.32,0.04,0.11,0.08,0.13,0.09
60370,HD107692,5867,4.44,0.08,0.13,0.09,0.15,0.13
60644,HD108147,6156,4.29,0,0.1,0.04,0.09,0.06
60729,HD108309,5778,4.26,0.15,0.12,0.09,0.13,0.13
60816,HD108510,6108,4.57,-0.05,0.05,0.02,0.04,0.01
61028,HD108874,5551,4.35,0.19,0.16,0.15,0.18,0.19
61291,HD109200,5098,4.57,-0.32,-0.25,-0.22,-0.3,-0.33
61317,HD109358,5930,4.44,-0.12,-0.15,-0.14,-0.16,-0.19
62039,HD110537,5752,4.40,0.12,0.11,0.11,0.12,0.11
62229,HD110810,5005,4.59,-0.04,0.01,-0.04,0.07,-0.02
62345,HD111031,5806,4.38,0.39,0.26,0.27,0.28,0.32
62349,HD111066,6105,4.12,-0.05,-0.04,-0.01,-0.04,-0.07
62523,HD111395,5654,4.55,0.03,0.07,0.05,0.13,0.04
62536,HD111398,5714,4.29,0.05,0.08,0.11,0.08,0.08
