HIP,HD,Teff,logg,NaH,SiH,TiH,FeH,NiH
102970,HD199476,5470,4.61,-0.36,-0.23,-0.24,-0.41,-0.41
103077,HD198802,5767,3.96,0,-0.02,0.06,0.04,0.02
103455,HD199598,6022,4.40,0.02,0.07,0.05,0.07,0.04
103458,HD199288,5796,4.62,-0.52,-0.41,-0.33,-0.63,-0.6
103654,HD199190,5938,4.29,0.21,0.15,0.15,0.15,0.17
103682,HD199960,5962,4.31,0.4,0.26,0.26,0.27,0.33
103983,HD200565,5684,4.37,-0.09,-0.06,-0.05,-0.06,-0.12
104071,HD200538,6037,4.34,0.08,0.09,0.13,0.11,0.11
104075,HD200746,5949,4.50,-0.06,-0.01,0.04,0.04,-0.06
104239,HD200968,5221,4.61,0.04,0.05,0.04,0.11,0.03
104318,HD201219,5653,4.57,0.08,0.12,0.09,0.15,0.11
104367,HD201203,6338,4.29,0.04,0.2,0.24,0.27,0.19
104436,HD199509,5770,4.55,-0.33,-0.25,-0.27,-0.31,-0.33
104659,HD201891,5688,4.39,-1.05,-0.84,-0.86,-1.12,-1.2
104733,HD202108,5684,4.51,-0.27,-0.19,-0.19,-0.2,-0.27
104809,HD201989,5749,4.58,0.05,0.09,0.09,0.12,0.08
104903,HD202206,5788,4.49,0.33,0.28,0.31,0.35,0.35
105038,HD202575,4780,4.85,-0.18,0.16,-0.05,0.04,-0.06
105152,HD202751,4797,4.70,-0.13,0.03,-0.06,-0.1,-0.13
105184,HD202628,5816,4.49,-0.1,-0.01,-0.01,-0.01,-0.08
105388,HD202917,5617,4.39,-0.06,-0.07,0.02,0.11,-0.06
105918,HD204277,6196,4.37,-0.2,-0.06,-0.07,-0.02,-0.12
106213,HD204385,5971,4.34,0.05,0.05,-0.02,0.02,0.02
106527,HD205420,6313,3.91,0.05,0.07,0.18,0.1,0.04
106696,HD205390,5053,4.62,-0.24,-0.16,-0.15,-0.17,-0.24
107022,HD205536,5444,4.52,-0.02,0,-0.02,-0.03,-0.04
107040,HD206332,6033,4.33,0.41,0.28,0.25,0.27,0.33
107070,HD206374,5587,4.52,-0.17,-0.09,-0.1,-0.05,-0.13
107107,HD206387,5852,4.50,0.08,0.12,0.18,0.23,0.14
107225,HD206395,6200,4.25,0.31,0.24,0.19,0.24,0.25
