HIP,HD,Teff,logg,Fe/H,O/H,Na/H,Mg/H,Al/H,Si/H,Ca/H,Ti/H,Cr/H,Ni/H,Zn/H,Y/H,Ba/H
 89952,168218,6037, 3.94,-0.50,-0.30,-0.46,-0.35,-0.45,-0.46,-0.43,-0.42,-0.51,-0.55,-0.52,-0.64,-0.57
 90004,168746,5497, 4.36,-0.14,0.16,-0.13,0.06,0.08,0.01,-0.07,0.06,-0.13,-0.11,0.02,-0.15,-0.17
 90151,168788,5242, 4.48,0.27,0.31,0.32,0.37,0.34,0.39,0.17,0.34,0.33,0.39,0.38,0.45,0.13
 90261,,6015, 4.27,-0.99,-0.44,-0.99,-0.60,-1.19,-0.70,-0.70,-0.66,-0.97,-1.03,-0.86,-0.81,-0.78
 90365,169889,5253, 4.44,-0.21,0.10,-0.25,-0.16,-0.12,-0.10,-0.19,-0.14,-0.19,-0.19,-0.06,0.20,0.03
 90442,169383,5741, 4.04,-0.47,-0.07,-0.42,-0.18,-0.20,-0.31,-0.30,-0.30,-0.48,-0.47,-0.31,-0.56,-0.54
 90485,169830,6459, 4.19,0.19,0.07,0.21,0.19,0.21,0.19,0.20,0.19,0.18,0.15,0.13,0.16,0.32
 90539,170232,5263, 4.43,-0.26,0.23,-0.20,-0.04,-0.04,-0.03,-0.22,-0.02,-0.22,-0.19,-0.02,-0.14,-0.33
 90896,170706,5718, 4.31,0.22,0.14,0.31,0.22,0.25,0.26,0.20,0.24,0.22,0.28,0.26,0.20,0.13
 91089,171317,6432, 4.35,-0.20,-0.14,-0.21,-0.19,-0.41,-0.17,-0.16,-0.16,-0.20,-0.26,-0.35,-0.13,0.01
 91095,171239,5830, 4.26,-0.27,-0.08,-0.26,-0.13,-0.13,-0.17,-0.16,-0.13,-0.28,-0.28,-0.07,-0.39,-0.35
 91360,171999,5208, 4.46,0.20,0.37,0.14,0.03,0.20,0.27,0.06,0.18,0.21,0.29,0.34,0.18,0.17
 91438,172051,5538, 4.47,-0.29,-0.16,-0.29,-0.24,-0.19,-0.24,-0.27,-0.23,-0.25,-0.30,-0.30,-0.20,-0.25
 91471,171982,4907, 3.54,-0.26,-0.10,-0.28,-0.09,-0.09,-0.13,-0.19,-0.12,-0.24,-0.24,0.02,-0.18,-0.26
 91582,172063,5481, 4.49,0.11,0.08,0.12,0.09,0.11,0.16,0.05,0.18,0.15,0.15,0.14,0.15,0.01
 92270,174160,6376, 4.23,-0.05,99.94,-0.04,-0.13,-0.07,-0.04,0.00,-0.08,-0.12,-0.07,-0.23,-0.11,0.06
 92288,173560,5717, 4.08,-0.21,0.04,-0.18,0.02,0.02,-0.09,-0.07,-0.03,-0.23,-0.20,-0.12,-0.34,-0.20
 92781,175179,5765, 4.33,-0.69,-0.13,-0.60,-0.33,-0.41,-0.49,-0.43,-0.45,-0.68,-0.71,-0.54,-0.49,-0.42
 92864,175128,6084, 4.09,0.07,0.05,0.11,0.15,0.08,0.10,0.09,0.05,0.06,0.06,0.11,0.13,0.05
 92880,175029,5833, 3.87,-0.10,-0.07,-0.07,0.03,-0.03,-0.06,-0.06,-0.10,-0.14,-0.13,-0.18,-0.25,-0.23
 92973,175237,5841, 4.25,-0.56,-0.14,-0.45,-0.32,-0.30,-0.39,-0.38,-0.34,-0.56,-0.54,-0.35,-0.66,-0.68
 93185,176377,5864, 4.54,-0.29,99.70,-0.31,-0.24,-0.27,-0.24,-0.24,-0.23,-0.28,-0.30,-0.37,-0.25,-0.11
 93186,175606,5966, 3.67,-2.31,-1.42,97.68,-1.92,97.68,-1.84,-2.00,-2.03,-2.30,-2.30,97.68,97.68,-2.76
 93377,176733,5547, 4.40,-0.07,-0.03,-0.08,0.01,-0.01,-0.02,-0.07,-0.05,-0.05,-0.05,-0.11,-0.14,-0.09
 93507,176021,5879, 4.08,-0.73,-0.17,-0.53,-0.35,-0.46,-0.51,-0.47,-0.47,-0.74,-0.72,-0.52,0.23,0.42
 93889,175169,5715, 4.35,0.22,0.11,0.30,0.23,0.24,0.28,0.20,0.21,0.24,0.29,0.35,0.19,0.18
 93966,178428,5656, 4.16,0.15,0.15,0.16,0.16,0.22,0.20,0.15,0.21,0.15,0.15,0.20,0.07,0.03
 94347,174930,6368, 4.22,-0.62,-0.43,-0.51,-0.49,-0.77,-0.60,-0.54,-0.60,-0.68,-0.72,-0.78,-0.70,-0.47
 94645,179949,6365, 4.56,0.24,0.03,0.19,0.17,0.19,0.21,0.19,0.21,0.22,0.20,0.18,0.24,0.21
 94678,179998,5747, 4.16,-0.17,0.06,-0.12,0.01,0.01,-0.08,-0.07,-0.05,-0.19,-0.17,-0.07,-0.17,-0.22
 95106,181199,5852, 4.44,-0.17,-0.23,-0.23,-0.20,-0.23,-0.22,-0.14,-0.15,-0.15,-0.21,-0.20,-0.11,-0.04
 95262,181720,5759, 4.01,-0.51,-0.12,-0.46,-0.24,-0.28,-0.35,-0.34,-0.31,-0.50,-0.50,-0.35,-0.60,-0.54
 95447,182572,5639, 4.41,0.41,0.32,0.47,0.43,0.45,0.46,0.33,0.45,0.45,0.49,0.51,0.40,0.29
 96124,183877,5577, 4.47,-0.22,0.08,-0.16,-0.03,-0.01,-0.10,-0.19,-0.03,-0.18,-0.19,-0.08,-0.23,-0.30
 96160,183579,5806, 4.49,-0.02,-0.07,-0.07,-0.06,-0.08,-0.04,0.00,-0.01,-0.03,-0.06,-0.09,0.04,0.10
 96258,184960,6380, 4.15,-0.03,99.96,-0.05,-0.02,-0.01,0.04,0.11,0.00,-0.08,-0.07,-0.21,-0.03,0.22
 96425,181983,5394, 4.42,0.13,0.22,0.15,0.22,0.19,0.21,0.06,0.18,0.15,0.19,0.16,0.18,-0.02
 96536,184985,6462, 4.14,0.10,0.05,0.11,0.11,0.11,0.07,0.11,0.08,0.05,0.04,0.03,0.08,0.29
 96854,185615,5541, 4.38,0.11,0.21,0.13,0.16,0.19,0.20,0.09,0.21,0.15,0.15,0.20,0.10,0.01
 96881,185679,5710, 4.47,0.06,0.07,0.10,0.04,0.10,0.11,0.05,0.07,0.09,0.09,0.05,0.02,-0.03
 97024,184846,5607, 4.27,-0.23,0.12,-0.18,-0.01,0.01,-0.06,-0.11,-0.01,-0.21,-0.19,-0.11,-0.23,-0.35
 97213,186194,5713, 4.16,0.20,0.10,0.29,0.24,0.28,0.24,0.19,0.22,0.20,0.23,0.13,0.13,0.11
 97358,186803,5638, 4.50,-0.03,-0.02,-0.13,-0.10,-0.08,-0.04,0.02,-0.02,-0.02,-0.09,-0.04,0.10,0.21
 97676,187620,5628, 4.32,0.11,0.14,0.17,0.07,0.12,0.14,0.11,0.13,0.13,0.15,0.12,0.08,0.10
 97779,187897,5944, 4.48,0.12,0.02,0.07,0.08,0.10,0.10,0.15,0.10,0.13,0.09,0.07,0.20,0.25
 98020,188510,5379, 4.51,-1.69,-0.88,-1.92,-1.32,98.30,-1.52,-1.43,-1.48,-1.64,-1.76,-1.63,-1.89,-1.88
 98355,188815,6232, 4.18,-0.62,99.37,-0.54,-0.45,-0.65,-0.56,-0.52,-0.51,-0.61,-0.64,-0.65,-0.75,-0.73
 98416,189340,5867, 4.32,-0.08,0.00,-0.07,-0.02,0.00,-0.07,0.00,-0.06,-0.06,-0.14,-0.16,-0.01,0.03
 98532,189558,5718, 3.85,-1.14,-0.65,-1.22,-0.69,-0.98,-0.86,-0.81,-0.87,-1.13,-1.16,-0.98,-0.93,-0.95
 98565,189712,6500, 3.87,-0.49,-0.24,-0.42,-0.34,-0.58,-0.43,-0.41,-0.44,-0.50,-0.54,-0.60,-0.50,-0.24
 98767,190360,5572, 4.47,0.26,0.28,0.29,0.29,0.30,0.30,0.21,0.35,0.30,0.31,0.36,0.31,0.15
 98785,190009,6361, 3.87,0.05,0.11,0.10,0.13,0.06,0.07,0.09,0.02,0.04,-0.02,-0.02,0.10,0.34
 98964,190594,5340, 4.45,0.06,0.32,0.06,0.17,0.21,0.18,0.00,0.21,0.08,0.11,0.16,0.17,-0.04
 99100,190873,5493, 4.35,-0.09,0.18,-0.09,0.03,0.06,0.01,-0.07,0.03,-0.08,-0.06,0.07,-0.13,-0.11
 99139,190649,5612, 4.32,-0.37,0.11,-0.31,-0.05,-0.11,-0.17,-0.21,-0.09,-0.37,-0.33,-0.23,-0.37,-0.49
 99174,190125,5682, 4.48,0.17,0.13,0.19,0.15,0.13,0.20,0.18,0.22,0.23,0.16,0.09,0.30,0.15
 99224,191069,5684, 4.28,-0.07,99.92,-0.02,0.10,0.06,0.01,-0.04,0.05,-0.03,-0.05,0.06,-0.14,-0.12
 99240,190248,5635, 4.36,0.37,0.18,0.46,0.35,0.44,0.41,0.34,0.41,0.39,0.42,0.47,0.32,0.21
 99551,190207,5828, 4.23,-0.22,-0.03,-0.25,-0.01,-0.08,-0.16,-0.14,-0.09,-0.24,-0.25,-0.07,-0.31,-0.22
 99799,192071,5804, 3.97,-0.29,-0.20,-0.31,-0.19,-0.22,-0.26,-0.24,-0.24,-0.31,-0.34,-0.31,-0.46,-0.40
100394,193565,6537, 4.07,-0.68,-0.21,-0.62,-0.35,-0.59,-0.50,-0.51,-0.48,-0.73,-0.72,-0.68,-0.76,-0.79
100405,193231,5416, 4.43,-0.53,-0.12,-0.52,-0.36,-0.35,-0.41,-0.46,-0.41,-0.48,-0.54,-0.43,-0.58,-0.59
100412,193307,6043, 4.21,-0.26,-0.12,-0.28,-0.18,-0.17,-0.23,-0.18,-0.18,-0.26,-0.31,-0.25,-0.35,-0.24
100568,193901,5800, 4.48,-1.10,98.89,-1.35,-0.88,98.89,-1.03,-0.90,-0.92,-1.09,-1.25,-1.15,-1.19,-1.22
100792,194598,6002, 4.31,-1.11,98.88,-1.17,-0.93,98.88,-0.98,-0.89,-0.93,-1.08,-1.19,-1.08,-1.21,-1.26
100942,194490,5857, 4.33,0.08,0.01,0.10,0.08,0.09,0.10,0.07,0.10,0.08,0.09,0.07,0.07,0.02
100970,195019,5748, 4.07,0.03,0.01,-0.06,0.10,0.06,0.04,0.07,0.01,0.01,-0.02,0.03,-0.11,0.00
101346,195633,6117, 3.98,-0.58,-0.34,-0.51,-0.35,-0.56,-0.49,-0.48,-0.49,-0.58,-0.63,-0.61,-0.70,-0.62
101399,195145,5643, 4.44,0.24,0.09,0.24,0.14,0.19,0.24,0.19,0.25,0.24,0.27,0.38,0.27,0.17
101857,195962,5712, 4.26,-0.01,0.00,-0.03,0.03,0.04,0.01,-0.02,-0.02,-0.01,-0.04,-0.11,-0.10,-0.10
102018,196800,5933, 4.12,0.13,0.10,0.22,0.15,0.14,0.17,0.13,0.07,0.12,0.15,0.08,-0.05,0.02
102046,196892,6009, 4.13,-1.05,-0.45,-1.01,-0.61,-0.78,-0.76,-0.77,-0.77,-1.02,-1.06,-0.94,-0.96,-1.06
102200,197083,5718, 4.40,-0.48,-0.22,-0.54,-0.30,-0.41,-0.43,-0.40,-0.40,-0.49,-0.53,-0.49,-0.59,-0.39
102264,197214,5594, 4.57,-0.24,-0.14,-0.28,-0.20,-0.21,-0.22,-0.25,-0.17,-0.21,-0.27,-0.18,-0.18,-0.13
102548,197507,5514, 4.49,-0.25,-0.09,-0.34,-0.21,-0.25,-0.23,-0.23,-0.24,-0.22,-0.31,-0.29,-0.15,-0.04
102580,197823,5351, 4.45,0.11,0.11,0.12,0.08,0.10,0.17,0.09,0.10,0.16,0.15,0.20,0.16,0.11
102610,198089,5845, 4.23,-0.25,-0.12,-0.27,-0.12,-0.20,-0.21,-0.19,-0.20,-0.27,-0.29,-0.01,-0.46,-0.30
102762,198188,5948, 4.30,-0.04,-0.06,0.00,-0.02,-0.07,-0.05,-0.04,-0.07,-0.07,-0.07,-0.06,-0.12,-0.03
102793,198273,5770, 4.03,-0.57,99.42,-0.48,-0.27,-0.36,-0.42,-0.40,-0.35,-0.57,-0.57,-0.49,-0.74,-0.78
102838,198416,5625, 4.27,-0.32,0.07,-0.27,-0.04,-0.05,-0.15,-0.16,-0.11,-0.31,-0.31,-0.14,-0.43,-0.36
103458,199288,5843, 4.53,-0.61,-0.26,-0.58,-0.35,-0.36,-0.48,-0.46,-0.34,-0.61,-0.60,-0.49,-0.69,-0.68
103498,199289,5856, 4.23,-1.11,-0.50,-1.03,-0.68,-0.88,-0.87,-0.86,-0.85,-1.14,-1.12,-0.92,-1.22,-1.40
103572,199604,5853, 4.26,-0.66,-0.20,-0.58,-0.31,-0.45,-0.47,-0.45,-0.41,-0.66,-0.65,-0.51,-0.79,-0.78
103609,199671,4993, 3.74,-0.31,0.10,-0.18,0.04,0.03,-0.09,-0.11,-0.03,-0.27,-0.25,-0.13,-0.30,-0.39
103654,199190,5940, 4.26,0.14,0.05,0.22,0.22,0.19,0.17,0.13,0.11,0.11,0.16,0.12,0.05,0.05
103682,199960,6023, 4.41,0.33,0.09,0.39,0.32,0.43,0.33,0.32,0.34,0.35,0.38,0.35,0.25,0.18
103692,200078,5694, 4.11,0.26,0.19,0.37,0.25,0.31,0.32,0.25,0.24,0.26,0.31,0.57,0.14,0.20
103735,199918,5713, 4.33,-0.26,-0.07,-0.20,-0.11,-0.13,-0.23,-0.14,-0.21,-0.21,-0.32,-0.29,-0.31,-0.21
103773,200051,5650, 3.74,-0.29,-0.20,-0.27,-0.13,-0.18,-0.24,-0.22,-0.23,-0.32,-0.33,-0.31,-0.40,-0.22
103881,200315,6493, 4.14,-0.54,-0.37,-0.47,-0.37,-0.64,-0.46,-0.45,-0.46,-0.58,-0.59,-0.71,-0.62,-0.47
103896,200297,5724, 4.49,-0.24,-0.16,-0.27,-0.17,-0.15,-0.19,-0.20,-0.20,-0.26,-0.28,-0.35,-0.19,-0.15
103990,200344,6127, 3.99,0.11,0.06,0.22,0.23,0.16,0.15,0.15,0.07,0.08,0.12,0.12,0.02,0.15
104045,200633,5835, 4.45,0.04,-0.03,0.02,0.05,0.04,0.04,0.05,0.02,0.02,0.02,0.02,0.03,0.06
104075,200746,5947, 4.45,-0.01,-0.09,-0.05,-0.10,-0.03,-0.06,0.06,-0.03,0.01,-0.10,-0.18,0.02,0.26
104152,200474,5964, 4.25,0.15,0.04,0.21,0.21,0.21,0.18,0.16,0.16,0.14,0.18,0.11,0.10,0.17
104294,201099,5902, 3.95,-0.44,-0.19,-0.48,-0.28,-0.37,-0.38,-0.35,-0.39,-0.49,-0.50,-0.50,-0.66,-0.47
104560,201588,5802, 4.42,-0.51,-0.29,-0.46,-0.30,-0.37,-0.43,-0.44,-0.43,-0.53,-0.53,-0.49,-0.64,-0.54
104659,201891,5973, 4.35,-1.08,-0.62,-0.97,-0.67,-0.83,-0.87,-0.86,-0.85,-1.06,-1.09,-1.00,-1.22,-1.30
104672,201876,6148, 4.07,-0.04,-0.06,-0.02,0.07,-0.02,-0.04,-0.01,-0.06,-0.08,-0.09,-0.11,-0.13,-0.02
104766,201945,6246, 4.07,-0.19,-0.16,-0.18,-0.07,-0.12,-0.14,-0.11,-0.19,-0.23,-0.26,-0.27,-0.23,-0.10
104922,202282,5804, 4.46,0.05,-0.05,0.05,0.07,0.06,0.07,0.05,0.04,0.06,0.04,0.02,0.06,0.06
105083,202578,6706, 4.06,-0.21,-0.01,-0.18,-0.05,-0.18,-0.19,-0.15,-0.19,-0.28,-0.28,0.03,-0.25,-0.06
105214,202457,5689, 4.07,0.06,0.09,0.08,0.17,0.18,0.12,0.08,0.10,0.05,0.08,0.23,-0.07,0.01
105521,203473,5872, 4.16,0.23,0.10,0.33,0.28,0.29,0.26,0.21,0.24,0.21,0.26,0.24,0.16,0.16
105541,203254,5586, 3.78,-0.20,-0.15,-0.17,-0.06,-0.06,-0.15,-0.14,-0.16,-0.21,-0.22,-0.12,-0.30,-0.24
105606,203432,5607, 4.42,0.30,0.18,0.37,0.25,0.32,0.34,0.28,0.30,0.33,0.38,0.46,0.27,0.22
105790,203373,5081, 3.76,-0.28,0.01,-0.25,-0.05,-0.03,-0.12,-0.17,-0.09,-0.26,-0.25,-0.14,-0.31,-0.40
105858,203608,6195, 4.36,-0.63,-0.43,-0.51,-0.49,-0.50,-0.56,-0.57,-0.55,-0.64,-0.65,-0.66,-0.78,-0.58
106006,204313,5761, 4.37,0.16,0.07,0.25,0.18,0.21,0.20,0.14,0.15,0.16,0.21,0.26,0.14,0.10
106560,205156,5646, 4.37,-0.66,-0.14,-0.57,-0.37,-0.37,-0.47,-0.46,-0.41,-0.65,-0.65,-0.49,-0.75,-0.75
106678,205656,5646, 4.13,0.01,0.11,0.04,0.17,0.17,0.11,0.05,0.06,0.00,0.02,0.07,-0.15,-0.06
106701,205545,5701, 4.50,0.08,0.05,0.06,0.02,0.06,0.07,0.10,0.08,0.12,0.05,0.11,0.15,0.17
106931,205891,5508, 4.46,-0.20,-0.02,-0.21,-0.13,-0.13,-0.15,-0.21,-0.13,-0.17,-0.19,-0.12,-0.29,-0.22
106951,206032,5743, 3.87,-0.24,-0.21,-0.26,-0.12,-0.13,-0.19,-0.13,-0.20,-0.28,-0.27,-0.13,-0.36,-0.23
107607,206998,5813, 3.98,-0.77,-0.25,-0.66,-0.40,-0.47,-0.54,-0.53,-0.53,-0.79,-0.77,-0.68,-0.88,-0.86
107618,207237,5702, 4.27,-0.31,-0.05,-0.36,-0.14,-0.23,-0.23,-0.26,-0.27,-0.31,-0.36,-0.24,-0.44,-0.36
107708,207398,5720, 3.80,-0.45,-0.30,-0.37,-0.29,-0.30,-0.40,-0.38,-0.37,-0.47,-0.47,-0.44,-0.55,-0.34
107857,207687,5107, 3.47,-0.75,-0.25,-0.67,-0.36,-0.41,-0.50,-0.48,-0.43,-0.74,-0.72,-0.57,-0.68,-0.82
107877,207692,6355, 4.20,-0.24,-0.23,-0.28,-0.08,-0.22,-0.19,-0.17,-0.23,-0.27,-0.31,-0.24,0.01,0.06
107975,207978,6578, 4.22,-0.47,99.52,-0.38,-0.36,-0.46,-0.43,-0.38,-0.32,-0.57,-0.48,-0.55,-0.54,-0.25
108068,208029,5600, 4.38,-0.34,0.11,-0.27,-0.04,-0.07,-0.15,-0.19,-0.08,-0.32,-0.31,-0.13,-0.34,-0.42
108095,208068,5998, 4.40,-0.42,-0.28,-0.37,-0.32,-0.40,-0.41,-0.32,-0.38,-0.42,-0.48,-0.53,-0.50,-0.31
108158,207700,5613, 4.30,0.03,0.22,0.05,0.12,0.16,0.12,0.04,0.14,0.05,0.05,0.11,0.03,0.00
108288,208152,5963, 4.22,-0.31,-0.18,-0.33,-0.17,-0.24,-0.25,-0.23,-0.27,-0.35,-0.36,-0.28,-0.47,-0.39
108468,208704,5799, 4.25,-0.08,-0.05,-0.14,-0.08,-0.08,-0.09,-0.06,-0.09,-0.10,-0.13,0.04,-0.21,-0.09
108473,208776,5987, 3.95,-0.11,-0.09,-0.09,-0.01,-0.04,-0.07,-0.06,-0.13,-0.13,-0.14,-0.15,-0.17,-0.02
108598,208740,5062, 4.64,-0.75,-0.12,-0.72,-0.36,-0.42,-0.48,-0.55,-0.34,-0.65,-0.70,-0.44,-0.31,-0.93
108736,208998,5990, 4.47,-0.29,0.02,-0.26,-0.06,-0.04,-0.15,-0.13,-0.02,-0.27,-0.28,-0.13,-0.36,-0.40
109012,209566,5430, 4.42,0.13,0.18,0.12,0.16,0.17,0.19,0.09,0.16,0.15,0.20,0.32,0.16,0.12
109086,209793,6075, 4.33,0.01,-0.09,0.07,0.06,0.02,0.02,0.01,-0.01,-0.02,0.01,0.00,-0.07,0.02
109110,209779,5841, 4.55,0.04,-0.04,-0.02,-0.04,-0.02,-0.01,0.12,0.05,0.09,-0.03,-0.22,0.12,0.26
109144,209875,6272, 4.21,-0.08,-0.16,-0.06,0.00,-0.07,-0.07,-0.02,-0.10,-0.13,-0.14,-0.17,-0.12,0.00
109207,209913,5496, 4.43,0.19,0.26,0.17,0.25,0.31,0.27,0.16,0.26,0.22,0.24,0.30,0.27,0.19
109214,209653,5976, 4.11,-0.14,-0.09,-0.12,0.00,-0.03,-0.09,-0.10,-0.13,-0.16,-0.16,-0.18,-0.28,-0.16
109266,209828,6224, 4.34,-0.37,-0.34,-0.41,-0.17,-0.22,-0.31,-0.19,-0.19,-0.42,-0.41,-0.40,-0.45,-0.29
