HIP,Star,Teff,logg,FeH,NaH,MgH,AlH,SiH,CaH,ScIH,ScIIH,TiIH,TiIIH,VH,CrIH,CrIIH,MnH,CoH,NiH
100455,HD193406,4728,4.5,-0.340,-0.165,-0.343,-0.155,-0.362,-0.220,0.203,-0.368,-0.003,-0.267,0.280,-0.242,-0.507,-0.508,-0.257,-0.350
100492,HD193844,5007,4.44,-0.300,-0.250,-0.250,-0.170,-0.289,-0.213,-0.127,-0.317,-0.080,-0.273,0.130,-0.233,-0.360,-0.333,-0.230,-0.308
100568,HD193901,5611,4.41,-1.070,-1.100,-0.977,99.990,-0.969,-0.875,99.990,-1.198,-1.026,-0.960,-1.153,-1.084,-1.020,-1.490,-1.058,-1.222
14339,HD19423,5752,4.23,-0.090,-0.130,-0.030,-0.030,-0.075,-0.058,-0.110,-0.053,-0.045,-0.020,-0.104,-0.099,-0.067,-0.158,-0.117,-0.111
14501,HD19467,5720,4.31,-0.140,-0.025,0.063,0.065,-0.047,-0.058,0.000,0.005,0.002,0.012,-0.048,-0.129,-0.140,-0.225,-0.049,-0.117
101631,HD194717,5247,4.26,-0.280,-0.255,-0.190,-0.285,-0.273,-0.261,-0.410,-0.257,-0.222,-0.277,-0.234,-0.295,-0.323,-0.285,-0.260,-0.333
101399,HD195145,5625,4.41,0.170,0.250,0.183,0.215,0.182,0.153,0.207,0.213,0.210,0.157,0.279,0.185,0.163,0.253,0.261,0.212
101136,HD195200,6201,4.44,-0.080,-0.030,-0.120,-0.120,-0.080,-0.063,-0.010,-0.072,-0.077,-0.062,-0.166,-0.087,-0.107,-0.148,-0.050,-0.120
101274,HD195302,5063,4.44,0.020,0.115,0.023,0.075,0.033,-0.012,0.150,-0.002,0.118,0.018,0.378,0.016,0.030,0.053,0.100,0.034
101345,HD195564,5676,4.03,0.060,0.050,0.113,0.110,0.076,0.091,0.077,0.105,0.095,0.110,0.071,0.066,0.017,0.067,0.086,0.051
101346,HD195633,6154,4.25,-0.510,-0.440,-0.403,-0.575,-0.425,-0.378,99.990,-0.402,-0.395,-0.368,-0.472,-0.505,-0.487,-0.648,-0.530,-0.525
101806,HD196050,5917,4.32,0.230,0.375,0.270,0.305,0.265,0.225,0.340,0.363,0.271,0.260,0.298,0.236,0.170,0.280,0.336,0.293
101785,HD196384,6611,4.79,-0.130,-0.310,-0.190,-0.340,-0.233,-0.045,99.990,-0.083,-0.029,-0.052,0.068,-0.074,-0.093,-0.285,-0.130,-0.181
101760,HD196397,5378,4.33,0.290,0.425,0.270,0.335,0.301,0.242,0.353,0.313,0.347,0.220,0.570,0.286,0.220,0.463,0.470,0.338
14596,HD19641,5806,4.39,-0.010,0.025,0.010,0.020,0.001,0.010,0.027,0.015,0.009,-0.005,-0.009,-0.001,-0.040,-0.013,0.003,-0.003
101997,HD196761,5415,4.43,-0.310,-0.240,-0.207,-0.230,-0.260,-0.268,-0.253,-0.302,-0.226,-0.283,-0.218,-0.277,-0.287,-0.328,-0.276,-0.308
102018,HD196800,6010,4.37,0.190,0.270,0.173,0.190,0.168,0.162,0.213,0.262,0.170,0.177,0.194,0.182,0.187,0.213,0.203,0.217
102046,HD196892,6072,4.5,-0.890,-0.870,-0.597,-0.815,-0.686,-0.619,-0.420,-0.698,-0.566,-0.583,-0.728,-0.886,-0.813,-1.165,-0.535,-0.853
102200,HD197083,5735,4.5,-0.450,-0.430,-0.337,-0.380,-0.376,-0.380,-0.355,-0.378,-0.350,-0.355,-0.433,-0.449,-0.410,-0.625,-0.406,-0.467
102211,HD197197,5812,4.2,-0.460,-0.450,-0.280,-0.305,-0.335,-0.307,-0.350,-0.290,-0.275,-0.260,-0.393,-0.472,-0.437,-0.663,-0.423,-0.463
102203,HD197210,5577,4.42,-0.030,-0.035,-0.020,-0.040,-0.042,-0.015,-0.023,-0.088,0.000,-0.065,0.009,-0.013,-0.060,0.003,-0.043,-0.052
102290,HD197300,6022,4.69,0.020,-0.075,-0.097,-0.125,0.028,0.065,0.097,-0.028,0.080,0.012,0.029,0.018,0.040,-0.055,-0.041,-0.034
102379,HD197536,6105,4.39,-0.410,-0.375,-0.293,-0.410,-0.333,-0.294,-0.165,-0.282,-0.286,-0.267,-0.365,-0.418,-0.397,-0.558,-0.383,-0.414
102580,HD197823,5396,4.41,0.120,0.260,0.117,0.145,0.147,0.098,0.150,0.125,0.149,0.162,0.269,0.137,0.123,0.198,0.191,0.152
1893,HD1979,5626,4.52,-0.090,-0.150,-0.080,-0.055,-0.097,-0.038,-0.057,-0.063,-0.005,-0.073,-0.026,-0.088,-0.090,-0.150,-0.106,-0.117
102753,HD197921,4913,4.36,0.130,0.220,0.180,0.350,0.142,0.128,0.633,0.178,0.392,0.118,0.760,0.153,0.063,0.148,0.371,0.164
102664,HD198075,5846,4.56,-0.240,-0.250,-0.207,-0.250,-0.257,-0.203,-0.210,-0.222,-0.202,-0.195,-0.266,-0.262,-0.247,-0.338,-0.273,-0.278
103250,HD199086,6149,4.65,0.180,0.195,0.063,0.095,0.218,0.131,0.195,0.218,0.155,0.230,0.175,0.146,0.230,0.238,0.166,0.191
103654,HD199190,5926,4.26,0.150,0.255,0.190,0.165,0.171,0.143,0.223,0.223,0.150,0.173,0.151,0.151,0.110,0.148,0.196,0.186
103458,HD199288,5746,4.46,-0.630,-0.540,-0.347,-0.500,-0.457,-0.465,-0.465,-0.480,-0.418,-0.410,-0.568,-0.642,-0.597,-0.833,-0.544,-0.639
103498,HD199289,5928,4.64,-0.980,-0.825,-0.663,-0.725,-0.765,-0.737,99.990,-0.808,-0.680,-0.685,-0.887,-0.978,-0.920,-1.278,-0.898,-0.952
103572,HD199604,5817,4.34,-0.620,-0.505,-0.340,-0.450,-0.415,-0.408,-0.425,-0.457,-0.368,-0.380,-0.503,-0.616,-0.600,-0.828,-0.495,-0.602
103854,HD199847,5763,4.22,-0.540,-0.395,-0.240,-0.295,-0.328,-0.307,-0.340,-0.348,-0.277,-0.273,-0.423,-0.531,-0.470,-0.823,-0.439,-0.519
103953,HD199868,6152,4.45,-0.130,-0.100,-0.123,-0.210,-0.118,-0.081,0.000,-0.080,-0.113,-0.113,-0.146,-0.138,-0.123,-0.198,-0.133,-0.139
103820,HD199933,4730,4.32,-0.150,-0.170,-0.190,-0.115,-0.169,-0.068,0.187,-0.248,0.033,-0.263,0.333,-0.092,-0.270,-0.225,-0.080,-0.192
14954,HD19994,6289,4.48,0.240,0.340,0.010,0.040,0.266,0.228,0.350,0.312,0.282,0.292,0.197,0.208,0.303,0.328,0.238,0.276
103682,HD199960,5973,4.39,0.280,0.430,0.283,0.295,0.302,0.258,0.373,0.392,0.283,0.318,0.320,0.293,0.237,0.380,0.364,0.348
14530,HD20003,5494,4.41,0.040,0.095,0.057,0.095,0.049,0.063,0.077,0.077,0.082,0.007,0.158,0.053,0.033,0.077,0.120,0.058
103787,HD200083,4828,4.42,-0.090,0.145,-0.063,0.090,-0.070,-0.022,0.450,-0.092,0.219,-0.097,0.543,-0.030,-0.190,-0.170,0.076,-0.060
103860,HD200143,5112,4.46,0.020,0.060,-0.010,0.105,0.001,0.068,0.147,-0.085,0.112,-0.043,0.351,0.031,-0.043,-0.015,0.079,0.019
104108,HD200349,4844,4.5,-0.260,-0.185,-0.493,-0.045,-0.244,-0.172,0.140,-0.323,0.009,-0.310,0.300,-0.186,-0.367,-0.333,-0.183,-0.273
104299,HD200505,5052,4.47,-0.450,-0.440,-0.430,-0.410,-0.447,-0.376,-0.360,-0.468,-0.294,-0.460,-0.226,-0.424,-0.433,-0.538,-0.448,-0.493
104071,HD200538,6042,4.38,0.100,0.120,0.087,0.075,0.105,0.100,0.147,0.135,0.095,0.110,0.071,0.083,0.063,0.100,0.100,0.108
104045,HD200633,5853,4.51,0.050,0.080,0.033,0.090,0.045,0.038,0.040,0.065,0.068,0.080,0.072,0.050,0.037,0.060,0.109,0.049
104331,HD201161,4884,4.36,-0.040,0.050,-0.060,0.220,-0.056,0.046,0.313,-0.112,0.158,0.002,0.481,0.008,-0.087,-0.035,0.047,-0.033
1933,HD2014,5054,4.37,-0.070,0.045,-0.060,0.130,-0.044,-0.040,0.150,-0.062,0.080,-0.082,0.365,-0.032,-0.107,-0.028,0.094,-0.030
104504,HD201422,5841,4.63,-0.160,-0.205,-0.203,-0.195,-0.218,-0.159,-0.027,-0.127,-0.139,-0.172,-0.136,-0.160,-0.133,-0.225,-0.222,-0.245
104549,HD201496,5974,4.44,-0.040,0.005,-0.047,-0.170,-0.038,-0.037,-0.007,-0.045,-0.010,-0.015,-0.050,-0.039,-0.013,-0.028,-0.010,-0.023
104903,HD202206,5757,4.47,0.290,0.340,0.250,0.285,0.295,0.249,0.343,0.323,0.298,0.275,0.361,0.308,0.203,0.350,0.339,0.329
104959,HD202209,6009,4.68,-0.010,-0.045,0.033,-0.050,-0.029,-0.012,-0.017,-0.073,0.034,0.002,0.044,0.009,-0.030,-0.088,-0.114,-0.066
105062,HD202389,4732,4.43,-0.250,-0.085,-0.283,-0.055,-0.289,-0.145,0.307,-0.323,0.053,-0.145,0.408,-0.176,-0.370,-0.305,-0.134,-0.242
1936,HD2025,4939,4.58,-0.350,-0.255,-0.317,-0.225,-0.328,-0.261,-0.067,-0.355,-0.115,-0.288,0.135,-0.258,-0.387,-0.415,-0.273,-0.362
105066,HD202605,5658,4.49,0.180,0.305,0.150,0.180,0.168,0.185,0.240,0.183,0.215,0.122,0.266,0.211,0.123,0.240,0.227,0.191
105204,HD202819,4737,4.4,-0.260,-0.075,-0.303,0.010,-0.333,-0.070,0.427,-0.357,0.128,-0.138,0.379,-0.148,-0.280,-0.368,-0.087,-0.283
105327,HD202871,6055,4.54,-0.090,-0.160,-0.110,-0.185,-0.099,-0.054,-0.103,-0.098,-0.074,-0.087,-0.143,-0.093,-0.083,-0.195,-0.174,-0.152
105629,HD203335,6306,4.56,-0.040,0.185,0.107,-0.090,-0.021,0.014,0.080,0.007,-0.006,-0.004,-0.109,-0.055,-0.057,-0.060,-0.049,-0.040
105483,HD203384,5586,4.4,0.260,0.420,0.280,0.320,0.293,0.198,0.340,0.312,0.300,0.256,0.406,0.276,0.220,0.378,0.397,0.313
105675,HD203413,4812,4.39,0.010,0.095,-0.023,0.130,0.040,0.054,0.357,-0.138,0.190,-0.028,0.484,0.014,-0.067,-0.035,0.090,-0.002
105606,HD203432,5645,4.39,0.290,0.425,0.300,0.315,0.329,0.238,0.377,0.322,0.332,0.310,0.431,0.319,0.247,0.388,0.431,0.358
105740,HD203771,4963,4.43,0.130,0.380,0.143,0.310,0.147,0.042,0.507,0.197,0.293,0.123,0.698,0.141,0.197,0.188,0.319,0.188
105905,HD203850,4879,4.51,-0.680,-0.595,-0.557,-0.460,-0.654,-0.575,-0.350,-0.628,-0.383,-0.655,-0.184,-0.618,-0.720,-0.753,-0.588,-0.702
105821,HD203897,5184,4.42,-0.180,-0.155,-0.153,-0.135,-0.167,-0.158,-0.137,-0.230,-0.067,-0.142,0.046,-0.151,-0.243,-0.185,-0.154,-0.207
15131,HD20407,5866,4.5,-0.440,-0.285,-0.327,-0.415,-0.378,-0.379,-0.335,-0.392,-0.380,-0.383,-0.451,-0.447,-0.423,-0.520,-0.406,-0.442
106078,HD204287,5743,4.15,-0.040,-0.065,0.040,0.030,-0.012,-0.004,-0.007,0.032,-0.001,0.020,-0.028,-0.046,-0.047,-0.045,-0.036,-0.067
106006,HD204313,5776,4.38,0.180,0.310,0.200,0.210,0.191,0.148,0.247,0.233,0.192,0.172,0.231,0.192,0.127,0.268,0.254,0.225
106213,HD204385,6033,4.44,0.070,0.125,0.060,0.065,0.074,0.089,0.080,0.117,0.073,0.097,0.043,0.064,0.047,0.065,0.076,0.078
15286,HD20492,4770,4.3,0.020,0.180,0.100,0.120,0.051,0.092,0.573,0.038,0.260,-0.038,0.606,0.075,-0.050,0.055,0.183,0.071
106353,HD204941,5056,4.48,-0.190,-0.115,-0.150,-0.075,-0.153,-0.209,-0.053,-0.213,-0.074,-0.162,0.151,-0.183,-0.183,-0.215,-0.101,-0.186
106586,HD205294,6370,4.3,-0.250,-0.195,-0.247,-0.370,-0.171,-0.147,99.990,-0.197,-0.162,-0.162,-0.218,-0.260,-0.267,-0.315,-0.265,-0.271
107022,HD205536,5442,4.38,-0.050,-0.020,-0.020,0.005,-0.031,-0.037,0.003,-0.025,-0.012,-0.018,0.044,-0.067,-0.073,-0.068,0.013,-0.071
106782,HD205591,6575,4.75,-0.080,-0.105,-0.150,-0.345,-0.064,-0.076,99.990,0.017,0.024,0.023,-0.100,-0.074,-0.053,-0.193,-0.133,-0.112
107001,HD206116,6231,4.57,0.240,0.380,0.063,0.085,0.229,0.242,0.310,0.247,0.247,0.294,0.275,0.224,0.153,0.263,0.221,0.266
107152,HD206163,5519,4.43,0.010,-0.030,0.000,-0.035,0.015,0.058,-0.007,-0.040,0.016,-0.082,0.069,0.034,-0.030,-0.023,-0.021,-0.028
107020,HD206172,5608,4.49,-0.240,-0.250,-0.230,-0.220,-0.223,-0.189,-0.223,-0.252,-0.177,-0.243,-0.218,-0.216,-0.233,-0.288,-0.243,-0.276
15442,HD20619,5703,4.51,-0.220,-0.220,-0.183,-0.195,-0.216,-0.182,-0.197,-0.233,-0.171,-0.195,-0.216,-0.205,-0.190,-0.263,-0.246,-0.259
107385,HD206630,4853,4.48,-0.410,-0.300,-0.373,-0.245,-0.390,-0.308,-0.080,-0.398,-0.128,-0.430,0.136,-0.365,-0.487,-0.478,-0.326,-0.415
107607,HD206998,5822,4.24,-0.690,-0.570,-0.403,-0.615,-0.468,-0.445,-0.475,-0.502,-0.443,-0.410,-0.613,-0.686,-0.640,-0.945,-0.570,-0.681
1954,HD2071,5719,4.47,-0.090,-0.090,-0.077,-0.080,-0.078,-0.068,-0.057,-0.110,-0.053,-0.097,-0.069,-0.074,-0.107,-0.103,-0.106,-0.112
107649,HD207129,5937,4.49,0.000,-0.025,0.013,-0.020,0.000,0.033,0.043,0.015,0.037,0.037,-0.004,0.008,-0.020,-0.070,-0.018,-0.017
107599,HD207190,6178,4.33,-0.420,-0.405,-0.357,-0.445,-0.343,-0.318,-0.210,-0.305,-0.302,-0.305,-0.390,-0.412,-0.393,-0.545,-0.381,-0.428
107805,HD207583,5534,4.46,0.010,-0.015,-0.020,-0.010,-0.004,0.042,0.007,-0.063,0.034,-0.030,0.086,0.042,-0.027,0.010,-0.022,-0.028
107936,HD207699,4874,4.36,-0.120,0.135,-0.083,0.080,-0.119,-0.084,0.347,-0.165,0.140,-0.185,0.471,-0.020,-0.173,-0.105,0.044,-0.102
108158,HD207700,5666,4.29,0.040,0.065,0.163,0.200,0.099,0.062,0.163,0.147,0.152,0.134,0.145,0.053,0.027,0.020,0.158,0.064
15526,HD20781,5256,4.37,-0.110,-0.100,-0.053,-0.025,-0.082,-0.068,-0.057,-0.133,-0.006,-0.100,0.106,-0.094,-0.113,-0.095,-0.078,-0.128
15527,HD20782,5774,4.37,-0.060,-0.100,-0.027,-0.040,-0.055,-0.035,-0.023,-0.042,-0.023,-0.017,-0.063,-0.057,-0.060,-0.140,-0.093,-0.094
107985,HD207832,5718,4.45,0.150,0.165,0.133,0.145,0.159,0.143,0.197,0.167,0.168,0.193,0.191,0.175,0.187,0.200,0.178,0.166
108193,HD207869,5527,4.5,-0.450,-0.455,-0.337,-0.325,-0.399,-0.375,-0.377,-0.405,-0.326,-0.373,-0.384,-0.437,-0.433,-0.600,-0.407,-0.475
15510,HD20794,5401,4.4,-0.400,-0.250,-0.110,-0.070,-0.197,-0.214,-0.173,-0.223,-0.077,-0.180,-0.144,-0.345,-0.373,-0.533,-0.240,-0.352
108065,HD207970,5556,4.38,0.070,0.115,0.160,0.195,0.118,0.089,0.150,0.184,0.181,0.168,0.208,0.090,0.020,0.103,0.189,0.088
569,HD208,5914,4.47,-0.310,-0.225,-0.240,-0.275,-0.279,-0.260,-0.243,-0.257,-0.264,-0.268,-0.358,-0.316,-0.287,-0.365,-0.319,-0.308
108095,HD208068,6007,4.64,-0.380,-0.335,-0.340,-0.365,-0.334,-0.324,-0.410,-0.318,-0.288,-0.313,-0.323,-0.390,-0.370,-0.475,-0.374,-0.408
15371,HD20807,5866,4.52,-0.230,-0.210,-0.123,-0.180,-0.186,-0.181,-0.147,-0.192,-0.155,-0.173,-0.225,-0.225,-0.227,-0.288,-0.207,-0.238
108241,HD208272,5199,4.42,-0.080,-0.060,-0.063,-0.050,-0.061,-0.011,-0.027,-0.145,-0.007,-0.062,0.103,-0.044,-0.087,-0.113,-0.062,-0.112
108375,HD208487,6146,4.48,0.080,0.075,0.080,0.025,0.084,0.102,0.120,0.085,0.096,0.097,0.054,0.071,0.040,0.043,0.044,0.063
15582,HD20852,6813,4.76,-0.350,-0.345,-0.360,99.990,-0.265,-0.302,99.990,-0.262,-0.251,-0.207,99.990,-0.372,-0.330,-0.505,-0.410,-0.373
108416,HD208573,4910,4.41,0.000,0.160,0.040,0.150,0.017,0.004,0.320,-0.060,0.163,-0.065,0.484,0.035,-0.047,0.010,0.147,0.055
108438,HD208672,5986,4.61,0.130,0.065,0.083,0.055,0.094,0.136,0.127,0.152,0.177,0.113,0.151,0.162,0.140,0.168,0.140,0.106
15578,HD20868,4802,4.26,0.050,0.260,0.193,0.365,0.059,0.071,0.567,0.002,0.265,-0.023,0.616,0.073,-0.027,0.072,0.247,0.092
108468,HD208704,5826,4.38,-0.090,-0.100,-0.073,-0.065,-0.079,-0.044,-0.087,-0.063,-0.067,-0.070,-0.103,-0.084,-0.090,-0.150,-0.103,-0.112
108870,HD209100,4754,4.45,-0.200,-0.075,-0.123,-0.055,-0.142,-0.054,0.280,-0.237,0.029,-0.220,0.325,-0.110,-0.267,-0.255,-0.076,-0.170
