HIP,Star,Teff,logg,FeH,NaH,MgH,AlH,SiH,CaH,ScIH,ScIIH,TiIH,TiIIH,VH,CrIH,CrIIH,MnH,CoH,NiH
110109,HD211415,5850,4.39,-0.210,-0.155,-0.160,-0.195,-0.183,-0.153,-0.170,-0.193,-0.160,-0.173,-0.230,-0.205,-0.230,-0.320,-0.190,-0.229
110127,HD211534,5032,4.43,-0.310,-0.230,-0.310,-0.255,-0.306,-0.262,-0.203,-0.332,-0.107,-0.245,0.066,-0.260,-0.387,-0.348,-0.220,-0.334
110156,HD211583,4761,4.39,0.050,0.370,0.030,0.305,0.031,0.159,0.743,0.185,0.371,0.033,0.693,0.096,0.010,0.068,0.311,0.139
15868,HD21161,5923,4.24,0.090,0.180,0.090,0.135,0.150,0.107,0.140,0.145,0.110,0.092,0.103,0.067,0.067,0.088,0.114,0.106
110440,HD212036,5687,4.41,-0.010,0.005,-0.023,0.030,-0.009,-0.008,-0.003,0.010,-0.009,0.027,0.004,-0.008,-0.010,-0.010,0.015,-0.006
15774,HD21209A,4671,4.31,-0.410,-0.200,-0.297,-0.180,-0.389,-0.255,0.157,-0.383,-0.100,-0.352,0.179,-0.292,-0.550,-0.488,-0.306,-0.404
110512,HD212231,5762,4.2,-0.300,-0.210,-0.063,0.035,-0.168,-0.167,-0.133,-0.138,-0.115,-0.128,-0.228,-0.303,-0.287,-0.428,-0.194,-0.281
110852,HD212301,6271,4.55,0.180,0.135,0.087,0.000,0.183,0.193,0.207,0.185,0.164,0.170,0.150,0.166,0.230,0.220,0.117,0.185
15962,HD21251,4920,4.41,-0.090,-0.055,-0.110,0.475,-0.065,-0.029,0.063,-0.162,-0.007,-0.070,0.305,-0.097,-0.153,-0.128,-0.050,-0.105
110695,HD212563,5018,4.52,-0.020,-0.040,0.063,0.080,-0.042,-0.028,0.080,-0.080,0.057,-0.007,0.320,-0.005,-0.030,-0.085,-0.006,-0.043
110812,HD212580,5155,4.44,-0.110,-0.100,-0.087,-0.065,-0.100,-0.043,-0.033,-0.142,-0.016,-0.168,0.154,-0.066,-0.140,-0.118,-0.093,-0.135
110843,HD212708,5681,4.35,0.270,0.395,0.293,0.325,0.298,0.212,0.350,0.347,0.295,0.266,0.374,0.281,0.263,0.375,0.421,0.331
110954,HD212918,5051,4.48,-0.210,-0.285,-0.197,-0.075,-0.218,-0.204,-0.060,-0.218,-0.022,-0.162,0.196,-0.173,-0.233,-0.260,-0.186,-0.252
110996,HD213042,4831,4.38,0.080,0.520,0.167,0.425,0.106,0.115,0.707,0.143,0.359,-0.013,0.661,0.138,0.000,0.100,0.314,0.148
111143,HD213240,5982,4.27,0.140,0.200,0.157,0.175,0.153,0.137,0.187,0.230,0.163,0.193,0.144,0.124,0.080,0.085,0.182,0.164
111274,HD213575,5671,4.18,-0.150,-0.035,0.070,0.075,-0.021,-0.023,0.010,0.023,0.042,0.037,-0.034,-0.128,-0.160,-0.280,-0.036,-0.122
111349,HD213628,5555,4.44,0.010,0.090,0.017,0.045,0.020,-0.011,0.070,0.035,0.063,-0.012,0.109,0.023,0.010,0.018,0.067,0.031
112049,HD213852,4943,4.24,0.150,0.340,0.130,0.295,0.115,0.098,0.410,0.132,0.290,0.132,0.679,0.161,0.103,0.230,0.357,0.183
111565,HD213941,5532,4.41,-0.460,-0.325,-0.177,-0.165,-0.258,-0.273,-0.273,-0.275,-0.180,-0.205,-0.296,-0.427,-0.407,-0.575,-0.311,-0.416
111616,HD214094,6288,4.28,-0.010,-0.005,-0.030,-0.100,-0.015,0.025,0.060,0.055,0.010,0.037,-0.031,-0.032,0.010,-0.098,-0.061,-0.041
16012,HD21411,5473,4.51,-0.260,-0.270,-0.223,-0.245,-0.239,-0.225,-0.263,-0.280,-0.175,-0.272,-0.196,-0.229,-0.267,-0.295,-0.273,-0.298
111742,HD214383,4876,4.47,-0.160,-0.210,-0.133,-0.205,-0.186,-0.142,-0.020,-0.260,0.000,-0.112,0.236,-0.125,-0.200,-0.235,-0.151,-0.228
111746,HD214385,5654,4.43,-0.340,-0.325,-0.257,-0.250,-0.289,-0.293,-0.303,-0.295,-0.276,-0.308,-0.325,-0.335,-0.320,-0.438,-0.317,-0.360
111978,HD214759,5461,4.37,0.180,0.235,0.247,0.250,0.200,0.132,0.273,0.170,0.238,0.130,0.378,0.199,0.117,0.303,0.293,0.227
112052,HD214867,5807,4.66,0.010,-0.270,-0.097,-0.015,-0.053,0.046,0.040,-0.030,0.043,0.002,0.070,0.038,-0.010,-0.023,-0.078,-0.060
112201,HD214954,5738,4.48,0.140,0.220,0.117,0.020,0.173,0.128,0.063,0.283,0.195,0.257,0.233,0.158,0.307,0.273,0.347,0.216
112095,HD214998,4847,4.37,0.060,0.230,0.260,0.210,0.080,0.093,0.383,0.007,0.202,0.113,0.581,0.076,0.070,0.075,0.207,0.091
112190,HD215152,4935,4.4,-0.100,0.180,-0.043,0.055,-0.061,0.014,0.260,-0.153,0.102,-0.148,0.495,-0.026,-0.117,-0.068,0.050,-0.062
112229,HD215257,6052,4.46,-0.630,-0.560,-0.507,-0.650,-0.532,-0.499,99.990,-0.528,-0.506,-0.497,-0.550,-0.631,-0.593,-0.808,-0.663,-0.657
112414,HD215456,5789,4.1,-0.090,-0.070,-0.030,-0.055,-0.056,-0.034,-0.037,-0.030,-0.052,-0.027,-0.101,-0.083,-0.093,-0.160,-0.090,-0.100
112441,HD215497,5110,4.4,0.200,0.395,0.310,0.475,0.244,0.193,0.633,0.262,0.400,0.308,0.750,0.249,0.180,0.248,0.519,0.255
112462,HD215625,6282,4.58,0.100,0.110,0.077,0.020,0.121,0.143,0.243,0.168,0.107,0.137,0.129,0.102,0.107,0.040,0.093,0.091
112524,HD215722,4728,4.4,-0.100,0.295,-0.177,0.010,-0.156,-0.051,0.367,-0.260,0.110,-0.173,0.429,-0.056,-0.157,-0.225,-0.013,-0.120
112643,HD215902,5454,4.46,-0.250,-0.300,-0.267,-0.300,-0.240,-0.196,-0.237,-0.205,-0.192,-0.230,-0.200,-0.239,-0.230,-0.278,-0.219,-0.311
112753,HD215906,6259,4.56,-0.280,-0.310,-0.310,-0.495,-0.227,-0.173,99.990,-0.242,-0.234,-0.190,-0.230,-0.274,-0.250,-0.395,-0.338,-0.327
112730,HD216008,5773,4.38,-0.040,0.010,-0.017,0.005,-0.024,-0.020,-0.003,0.023,-0.027,-0.033,-0.038,-0.030,-0.037,-0.025,-0.003,-0.034
112913,HD216215,5220,4.45,-0.200,-0.180,-0.190,-0.075,-0.197,-0.149,-0.107,-0.237,-0.071,-0.230,0.038,-0.153,-0.223,-0.220,-0.137,-0.221
113044,HD216435,6008,4.2,0.240,0.325,0.177,0.250,0.269,0.217,0.297,0.330,0.257,0.262,0.265,0.215,0.273,0.280,0.270,0.273
113238,HD216770,5424,4.38,0.240,0.465,0.307,0.385,0.339,0.198,0.383,0.350,0.315,0.305,0.515,0.243,0.197,0.380,0.440,0.320
113231,HD216777,5623,4.51,-0.380,-0.360,-0.290,-0.285,-0.319,-0.310,-0.310,-0.322,-0.278,-0.313,-0.338,-0.363,-0.333,-0.475,-0.354,-0.392
16085,HD21693,5430,4.37,0.000,0.085,0.033,0.070,0.025,-0.005,0.047,0.005,0.057,0.008,0.140,0.025,-0.013,0.068,0.070,0.034
113528,HD217221,5184,4.45,0.010,0.080,0.043,0.095,0.032,0.031,0.120,0.030,0.081,0.042,0.319,0.013,-0.037,0.012,0.126,0.024
113632,HD217395,5916,4.52,-0.130,-0.130,-0.137,-0.160,-0.133,-0.085,-0.107,-0.128,-0.109,-0.127,-0.163,-0.127,-0.113,-0.188,-0.163,-0.171
16069,HD21749,4723,4.4,-0.020,0.245,-0.030,0.270,-0.065,0.088,0.650,-0.065,0.280,-0.005,0.623,0.034,-0.187,-0.030,0.139,0.019
16286,HD21759,5142,4.49,-0.610,-0.540,-0.473,-0.490,-0.555,-0.516,-0.510,-0.610,-0.396,-0.543,-0.373,-0.582,-0.610,-0.670,-0.554,-0.641
113834,HD217786,5966,4.35,-0.140,-0.080,-0.063,0.055,-0.115,-0.089,-0.153,-0.062,-0.095,-0.122,-0.145,-0.145,-0.130,-0.190,-0.084,-0.137
113948,HD217958,5970,4.45,0.280,0.425,0.187,0.345,0.307,0.250,0.453,0.522,0.350,0.305,0.424,0.270,0.417,0.428,0.450,0.346
114098,HD218249,5009,4.52,-0.400,-0.310,-0.313,-0.225,-0.381,-0.298,-0.187,-0.383,-0.175,-0.337,0.024,-0.339,-0.423,-0.465,-0.306,-0.401
114236,HD218340,5889,4.42,0.090,0.065,0.080,0.065,0.074,0.137,0.057,0.043,0.095,0.053,0.050,0.079,0.053,0.090,0.077,0.070
114269,HD218379,5938,4.11,0.150,0.265,0.170,0.170,0.175,0.152,0.197,0.227,0.152,0.162,0.160,0.147,0.090,0.170,0.200,0.184
114276,HD218504,5962,4.34,-0.550,-0.495,-0.370,-0.485,-0.435,-0.399,-0.390,-0.415,-0.390,-0.373,-0.514,-0.569,-0.530,-0.745,-0.536,-0.564
114361,HD218511,4556,4.31,-0.100,0.010,-0.207,0.105,-0.108,-0.021,0.547,-0.110,0.161,-0.038,0.448,-0.078,-0.185,-0.163,0.061,-0.064
114416,HD218572,4785,4.54,-0.560,-0.445,-0.317,-0.300,-0.527,-0.352,-0.020,-0.483,-0.185,-0.460,0.066,-0.456,-0.637,-0.655,-0.429,-0.557
114477,HD218750,5166,4.39,0.080,0.150,0.187,0.245,0.113,0.074,0.293,0.155,0.251,0.217,0.519,0.101,0.060,0.115,0.254,0.106
114519,HD218885,5763,4.46,-0.280,-0.285,-0.237,-0.315,-0.246,-0.227,-0.353,-0.323,-0.232,-0.227,-0.271,-0.250,-0.210,-0.360,-0.301,-0.336
114699,HD219077,5362,4,-0.130,-0.140,-0.017,0.045,-0.073,-0.059,-0.053,-0.015,0.003,0.035,0.031,-0.104,-0.117,0.008,-0.040,-0.130
114790,HD219249,5482,4.5,-0.400,-0.340,-0.320,-0.340,-0.352,-0.335,-0.357,-0.405,-0.304,-0.375,-0.346,-0.377,-0.363,-0.480,-0.383,-0.414
16365,HD21938,5778,4.38,-0.470,-0.340,-0.210,-0.235,-0.293,-0.296,-0.333,-0.283,-0.236,-0.243,-0.361,-0.453,-0.410,-0.675,-0.336,-0.437
114980,HD219495,4787,4.4,0.130,0.375,-0.040,0.425,0.112,0.204,0.807,0.198,0.446,0.153,0.679,0.199,-0.003,0.090,0.377,0.166
16498,HD21977,5930,4.45,0.100,0.140,0.057,0.105,0.096,0.088,0.087,0.147,0.118,0.037,0.096,0.106,0.080,0.168,0.141,0.110
115381,HD220256,5144,4.41,-0.100,0.010,0.037,0.150,-0.017,-0.038,0.167,0.058,0.164,0.085,0.388,-0.067,-0.097,-0.110,0.079,-0.073
115445,HD220339,5029,4.55,-0.350,-0.255,-0.313,-0.210,-0.299,-0.272,-0.143,-0.298,-0.163,-0.253,0.030,-0.296,-0.350,-0.408,-0.280,-0.354
115547,HD220367,6128,4.37,-0.210,-0.200,-0.100,-0.190,-0.161,-0.133,-0.057,-0.120,-0.119,-0.128,-0.165,-0.210,-0.207,-0.305,-0.209,-0.218
115519,HD220456,5887,4.5,-0.020,-0.065,-0.023,-0.060,-0.024,0.012,-0.017,-0.033,0.002,-0.045,-0.027,-0.011,-0.007,-0.060,-0.066,-0.055
16537,HD22049,5153,4.53,-0.110,-0.105,-0.067,-0.070,-0.121,-0.035,0.007,-0.187,0.034,-0.134,0.196,-0.065,-0.153,-0.135,-0.121,-0.156
115577,HD220507,5698,4.29,0.010,0.090,0.147,0.165,0.083,0.062,0.133,0.133,0.130,0.138,0.106,0.026,0.067,-0.030,0.110,0.031
115803,HD220894,6282,4.6,0.020,0.015,-0.123,-0.080,0.017,0.053,0.053,0.075,0.043,0.085,0.003,0.005,0.027,-0.028,-0.020,-0.001
115951,HD221146,5876,4.27,0.080,0.170,0.123,0.110,0.117,0.111,0.123,0.145,0.100,0.097,0.077,0.084,0.037,0.095,0.124,0.107
116084,HD221287,6374,4.62,0.040,-0.050,-0.060,-0.110,-0.001,0.074,-0.190,0.013,0.059,0.048,-0.023,0.034,0.050,-0.010,-0.067,-0.023
116122,HD221343,5848,4.54,0.110,0.260,0.090,0.180,0.085,0.110,0.100,0.098,0.101,0.072,0.121,0.115,0.103,0.135,0.116,0.098
116106,HD221356,6112,4.53,-0.200,-0.250,-0.127,-0.240,-0.175,-0.097,-0.090,-0.122,-0.095,-0.093,-0.198,-0.219,-0.210,-0.328,-0.227,-0.227
116250,HD221420,5847,4.03,0.330,0.520,0.407,0.435,0.370,0.313,0.450,0.485,0.375,0.400,0.425,0.324,0.220,0.398,0.467,0.418
116285,HD221580,5322,2.68,-1.130,-1.285,-0.893,-1.040,-0.887,-0.838,99.990,-1.095,-0.909,-0.912,-1.115,-1.179,-0.973,-1.538,-1.164,-1.215
116350,HD221638,6360,4.53,-0.210,-0.545,-0.197,-0.410,-0.129,-0.156,0.030,-0.180,-0.150,-0.165,-0.346,-0.237,-0.270,-0.330,-0.284,-0.268
16460,HD22177,5666,4.26,0.200,0.255,0.247,0.270,0.223,0.176,0.277,0.297,0.248,0.252,0.264,0.215,0.203,0.268,0.304,0.210
116519,HD221974,5170,4.3,0.300,0.460,0.187,0.410,0.297,0.229,0.517,0.452,0.398,0.337,0.726,0.307,0.290,0.405,0.675,0.397
116745,HD222237,4780,4.37,-0.380,-0.155,-0.203,-0.030,-0.271,-0.178,0.287,-0.252,0.073,-0.228,0.333,-0.277,-0.410,-0.433,-0.163,-0.345
116763,HD222335,5271,4.49,-0.200,-0.165,-0.153,-0.130,-0.186,-0.168,-0.117,-0.217,-0.074,-0.200,0.014,-0.167,-0.247,-0.215,-0.170,-0.228
116819,HD222422,5475,4.46,-0.120,-0.155,-0.093,-0.065,-0.134,-0.033,-0.067,-0.117,-0.014,-0.058,-0.001,-0.095,-0.153,-0.160,-0.147,-0.147
16544,HD22249,5773,4.63,-0.060,-0.180,-0.070,-0.080,-0.087,-0.043,0.003,-0.058,-0.018,-0.048,-0.038,-0.034,-0.040,-0.165,-0.103,-0.130
116906,HD222582,5779,4.37,-0.010,0.050,0.057,0.050,0.029,0.018,0.053,0.053,0.033,0.042,0.014,0.000,-0.020,-0.025,0.039,0.003
116937,HD222595,5648,4.46,0.010,0.055,0.017,0.020,0.015,0.022,0.050,-0.007,0.047,-0.027,0.064,0.040,-0.023,0.033,0.041,0.021
117066,HD222669,5894,4.46,0.050,0.045,0.057,0.015,0.037,0.070,0.070,0.035,0.054,0.040,0.031,0.060,0.040,0.040,0.026,0.044
117002,HD222721,5361,4.43,-0.310,-0.230,-0.263,-0.180,-0.242,-0.252,-0.280,-0.267,-0.172,-0.255,-0.179,-0.283,-0.277,-0.315,-0.250,-0.314
16727,HD22282,5433,4.32,0.120,0.130,0.163,0.350,0.121,0.098,0.173,0.120,0.191,0.115,0.278,0.119,0.130,0.198,0.241,0.114
117288,HD223121,5077,4.34,0.050,0.230,0.047,0.165,0.043,0.020,0.250,0.037,0.155,0.135,0.445,0.070,-0.033,0.120,0.200,0.068
117320,HD223171,5841,4.2,0.120,0.180,0.153,0.145,0.126,0.103,0.173,0.195,0.122,0.160,0.124,0.118,0.060,0.130,0.159,0.135
117399,HD223272,5118,4.41,0.130,0.275,0.187,0.465,0.117,0.138,0.430,0.182,0.301,0.228,0.630,0.162,0.030,0.188,0.306,0.128
117404,HD223282,5328,4.49,-0.410,-0.370,-0.340,-0.335,-0.362,-0.341,-0.380,-0.418,-0.293,-0.402,-0.318,-0.390,-0.393,-0.480,-0.393,-0.442
117427,HD223315,5650,4.44,0.300,0.365,0.253,0.390,0.304,0.258,0.323,0.360,0.307,0.280,0.411,0.301,0.267,0.368,0.389,0.329
117776,HD223854,6080,4.08,-0.540,-0.490,-0.600,-0.555,-0.421,-0.365,-0.260,-0.390,-0.385,-0.370,-0.413,-0.536,-0.513,-0.570,-0.523,-0.544
117895,HD224047,5167,4.43,-0.230,-0.175,-0.250,-0.175,-0.223,-0.175,-0.180,-0.242,-0.132,-0.265,-0.010,-0.194,-0.203,-0.218,-0.203,-0.244
117902,HD224063,5591,4.27,0.140,0.200,0.237,0.270,0.199,0.150,0.227,0.247,0.230,0.215,0.275,0.158,0.087,0.213,0.269,0.165
118009,HD224230,4944,4.47,-0.100,0.150,-0.073,0.025,-0.125,-0.038,0.267,-0.058,0.159,-0.037,0.464,-0.072,-0.080,-0.087,0.034,-0.081
118040,HD224287,5330,4.38,-0.290,-0.275,-0.290,-0.245,-0.263,-0.233,-0.220,-0.312,-0.223,-0.263,-0.213,-0.258,-0.277,-0.283,-0.263,-0.320
118080,HD224347,6092,4.27,-0.420,-0.375,-0.303,-0.460,-0.328,-0.329,-0.320,-0.355,-0.316,-0.348,-0.383,-0.395,-0.400,-0.540,-0.363,-0.416
118123,HD224393,5774,4.54,-0.380,-0.375,-0.307,-0.365,-0.355,-0.295,-0.280,-0.358,-0.293,-0.312,-0.379,-0.365,-0.363,-0.495,-0.407,-0.412
118146,HD224432,4828,4.38,-0.060,-0.090,-0.003,-0.015,-0.046,-0.041,0.123,-0.145,0.049,-0.147,0.368,-0.062,-0.043,-0.100,0.028,-0.068
118143,HD224433,5527,4.42,0.090,0.180,0.110,0.115,0.068,0.073,0.080,0.063,0.118,0.132,0.196,0.112,0.037,0.140,0.194,0.105
118247,HD224578,6158,4.67,-0.010,-0.055,-0.080,-0.165,-0.078,-0.010,0.003,-0.007,0.000,0.012,-0.096,-0.006,0.003,-0.068,-0.118,-0.058
118278,HD224619,5436,4.39,-0.200,-0.170,-0.113,-0.100,-0.143,-0.152,-0.143,-0.207,-0.105,-0.180,-0.095,-0.171,-0.200,-0.220,-0.161,-0.204
118321,HD224685,5504,4.47,-0.400,-0.360,-0.307,-0.310,-0.346,-0.315,-0.320,-0.418,-0.287,-0.398,-0.319,-0.372,-0.467,-0.503,-0.380,-0.417
57,HD224789,5185,4.44,-0.030,0.035,-0.033,0.015,0.015,0.027,0.053,-0.103,0.057,-0.073,0.201,0.028,-0.047,-0.055,-0.003,-0.039
80,HD224817,5894,4.36,-0.530,-0.445,-0.250,-0.430,-0.359,-0.339,-0.350,-0.340,-0.291,-0.272,-0.436,-0.543,-0.513,-0.720,-0.438,-0.522
413,HD225297,6181,4.55,-0.090,-0.115,0.097,-0.255,-0.076,-0.057,-0.057,-0.077,-0.074,-0.057,-0.098,-0.108,-0.093,-0.145,-0.177,-0.118
16693,HD22610,5043,4.44,-0.220,-0.160,-0.203,-0.020,-0.193,-0.193,-0.097,-0.303,-0.088,-0.203,0.042,-0.184,-0.220,-0.265,-0.205,-0.260
17147,HD22879,5884,4.52,-0.820,-0.705,-0.477,-0.615,-0.581,-0.556,-0.550,-0.675,-0.521,-0.505,-0.713,-0.804,-0.773,-1.118,-0.602,-0.802
17165,HD22897,4837,4.44,-0.250,-0.060,-0.237,-0.200,-0.301,-0.127,0.193,-0.290,0.035,-0.277,0.345,-0.151,-0.247,-0.283,-0.137,-0.286
17183,HD22918,4924,3.61,0.020,-0.055,0.197,0.270,0.071,0.095,0.290,0.160,0.258,0.172,0.553,0.038,0.043,0.120,0.264,0.025
17253,HD23030,5951,4.37,0.200,0.325,0.210,0.165,0.236,0.178,0.230,0.282,0.268,0.245,0.236,0.221,0.103,0.375,0.303,0.230
17096,HD23079,5980,4.48,-0.120,-0.140,-0.113,-0.145,-0.108,-0.065,-0.047,-0.080,-0.082,-0.060,-0.155,-0.133,-0.103,-0.208,-0.147,-0.147
17378,HD23249,5150,3.89,0.130,0.365,0.190,0.255,0.151,0.101,0.297,0.232,0.261,0.277,0.519,0.156,0.130,0.258,0.370,0.152
17420,HD23356,5004,4.5,-0.170,-0.080,-0.143,-0.055,-0.136,-0.173,0.050,-0.187,0.001,-0.163,0.239,-0.133,-0.183,-0.208,-0.090,-0.172
17364,HD23456,6178,4.56,-0.320,-0.270,-0.290,-0.345,-0.259,-0.237,-0.220,-0.238,-0.244,-0.207,-0.331,-0.332,-0.273,-0.423,-0.334,-0.335
17264,HD23472,4813,4.38,-0.190,-0.025,-0.137,0.040,-0.173,-0.127,0.293,-0.180,0.093,-0.238,0.421,-0.109,-0.240,-0.210,-0.047,-0.168
17801,HD23901,5264,3.93,-0.400,-0.255,-0.107,-0.055,-0.214,-0.213,-0.237,-0.210,-0.080,-0.137,-0.108,-0.356,-0.367,-0.485,-0.213,-0.360
17486,HD24062,6107,4.62,0.280,0.240,0.157,-0.040,0.279,0.292,0.193,0.485,0.326,0.392,0.369,0.248,0.243,0.313,0.313,0.312
17515,HD24085,6065,4.47,0.170,0.220,0.167,0.095,0.183,0.184,0.247,0.280,0.196,0.260,0.173,0.166,0.213,0.148,0.190,0.205
17819,HD24112,6175,4.35,0.160,0.255,0.127,0.145,0.182,0.153,0.233,0.222,0.145,0.178,0.143,0.157,0.170,0.188,0.163,0.192
17978,HD24331,4965,4.51,-0.310,-0.245,-0.247,-0.195,-0.289,-0.302,-0.130,-0.315,-0.141,-0.302,0.092,-0.274,-0.317,-0.370,-0.237,-0.310
17970,HD24558,5274,4.4,-0.470,-0.465,-0.320,-0.295,-0.391,-0.358,-0.327,-0.437,-0.312,-0.407,-0.308,-0.415,-0.460,-0.553,-0.407,-0.483
18317,HD24633,5276,4.36,-0.040,0.050,0.163,0.175,-0.011,0.057,0.193,0.017,0.180,0.110,0.319,0.005,-0.087,-0.030,0.076,-0.052
18432,HD24892,5363,3.99,-0.320,-0.265,-0.150,-0.110,-0.192,-0.198,-0.207,-0.167,-0.108,-0.117,-0.165,-0.296,-0.273,-0.390,-0.216,-0.312
18427,HD25061,5243,4.42,0.070,0.140,0.067,0.130,0.119,0.033,0.117,0.063,0.102,0.052,0.296,0.067,0.063,0.100,0.223,0.091
18538,HD25105,5316,4.47,-0.150,-0.130,-0.127,-0.120,-0.148,-0.061,-0.107,-0.218,-0.074,-0.172,0.007,-0.118,-0.163,-0.160,-0.130,-0.174
18343,HD25120,5134,4.47,-0.180,-0.125,-0.167,-0.170,-0.203,-0.128,-0.137,-0.302,-0.087,-0.198,0.026,-0.162,-0.193,-0.255,-0.220,-0.245
18387,HD25171,6160,4.43,-0.110,-0.085,-0.093,-0.250,-0.097,-0.064,-0.073,-0.092,-0.087,-0.063,-0.126,-0.104,-0.107,-0.155,-0.166,-0.137
18707,HD25357,5117,4.72,-0.030,0.015,-0.123,-0.020,-0.061,-0.041,0.143,-0.042,0.118,-0.028,0.294,-0.004,-0.047,-0.093,0.071,-0.034
18828,HD25565,5212,4.47,0.030,0.105,0.070,0.120,0.030,0.018,0.153,0.022,0.130,0.028,0.375,0.032,-0.027,0.050,0.130,0.033
18870,HD25587,6258,4.61,-0.120,-0.100,-0.237,-0.175,-0.106,-0.073,0.190,0.048,0.006,-0.050,-0.250,-0.148,-0.020,-0.153,-0.074,-0.160
2292,HD2567,6038,4.44,0.220,0.285,0.210,0.285,0.214,0.205,0.263,0.282,0.223,0.272,0.240,0.221,0.213,0.218,0.238,0.258
19007,HD25673,5136,4.47,-0.500,-0.385,-0.393,-0.345,-0.436,-0.425,-0.317,-0.467,-0.291,-0.475,-0.220,-0.449,-0.510,-0.593,-0.429,-0.508
18802,HD25704,5942,4.52,-0.830,-0.740,-0.583,-0.740,-0.634,-0.623,99.990,-0.690,-0.596,-0.587,-0.683,-0.827,-0.750,-1.053,-0.807,-0.831
18944,HD25912,5900,4.52,0.120,0.060,0.110,0.095,0.061,0.123,0.017,0.100,0.158,0.130,0.148,0.128,0.083,0.110,0.120,0.093
2350,HD2638,5198,4.43,0.120,0.240,0.107,0.200,0.158,0.082,0.263,0.110,0.205,0.100,0.474,0.119,0.097,0.158,0.271,0.153
19292,HD26430,4948,4.37,-0.260,-0.200,-0.183,-0.150,-0.202,-0.195,-0.083,-0.275,-0.115,-0.328,0.159,-0.209,-0.230,-0.268,-0.190,-0.263
19633,HD26729,5718,4.17,0.310,0.395,0.327,0.365,0.331,0.258,0.400,0.378,0.340,0.328,0.439,0.312,0.220,0.390,0.454,0.361
19809,HD26887,6016,4.46,-0.350,-0.250,-0.303,-0.410,-0.309,-0.283,-0.303,-0.260,-0.311,-0.280,-0.310,-0.356,-0.293,-0.448,-0.327,-0.380
19849,HD26965A,5153,4.39,-0.310,-0.155,-0.057,0.015,-0.167,-0.154,-0.010,-0.207,0.061,-0.140,0.203,-0.239,-0.323,-0.375,-0.120,-0.271
19925,HD27063,5767,4.44,0.050,0.040,0.053,0.035,0.043,0.075,0.077,0.032,0.077,0.048,0.065,0.070,0.013,0.030,0.026,0.040
20052,HD27471,5871,4.25,0.110,0.150,0.117,0.160,0.146,0.103,0.160,0.220,0.110,0.208,0.127,0.083,0.093,0.150,0.140,0.131
2416,HD2768,5548,4.4,-0.030,-0.015,-0.043,0.000,-0.051,-0.028,-0.023,-0.065,0.016,-0.074,0.046,-0.016,-0.093,-0.078,-0.011,-0.041
20277,HD27894,4952,4.39,0.200,0.400,0.270,0.410,0.258,0.144,0.640,0.277,0.361,0.235,0.700,0.197,0.193,0.195,0.459,0.244
20723,HD28185,5667,4.42,0.210,0.375,0.230,0.285,0.261,0.164,0.303,0.275,0.243,0.262,0.329,0.223,0.163,0.310,0.324,0.279
20606,HD28254,5653,4.15,0.360,0.525,0.380,0.455,0.371,0.279,0.453,0.430,0.384,0.443,0.481,0.377,0.237,0.473,0.514,0.402
616,HD283,5157,4.51,-0.540,-0.495,-0.387,-0.370,-0.474,-0.442,-0.403,-0.465,-0.316,-0.485,-0.283,-0.498,-0.510,-0.628,-0.468,-0.551
20625,HD28471,5745,4.37,-0.050,-0.030,-0.007,0.010,-0.026,-0.028,-0.010,0.013,-0.002,-0.040,-0.033,-0.055,-0.090,-0.080,-0.027,-0.058
20677,HD28701,5710,4.41,-0.320,-0.220,-0.073,-0.075,-0.148,-0.144,-0.160,-0.128,-0.078,-0.073,-0.178,-0.299,-0.277,-0.520,-0.178,-0.285
21143,HD28807,6602,4.67,0.060,0.030,-0.043,-0.345,0.013,0.048,0.290,0.330,0.146,0.150,0.105,0.099,0.053,0.055,0.017,0.024
21172,HD28821,5660,4.38,-0.120,-0.150,-0.040,-0.005,-0.084,-0.068,-0.063,-0.047,-0.032,-0.042,-0.073,-0.113,-0.103,-0.200,-0.114,-0.146
21245,HD28969,6255,4.68,-0.010,-0.040,-0.023,-0.355,-0.082,-0.010,0.180,0.103,0.028,0.020,0.033,0.009,-0.020,0.025,-0.042,-0.071
24190,HD290038,5006,4.42,0.010,0.105,-0.050,0.095,0.021,-0.023,0.193,-0.042,0.125,0.068,0.446,0.002,-0.003,0.023,0.169,0.040
25191,HD290327,5505,4.41,-0.140,-0.085,-0.087,-0.060,-0.091,-0.108,-0.090,-0.137,-0.065,-0.115,-0.051,-0.119,-0.110,-0.155,-0.081,-0.137
20998,HD29137,5768,4.28,0.300,0.415,0.327,0.345,0.324,0.260,0.407,0.375,0.323,0.335,0.388,0.303,0.250,0.375,0.389,0.335
31085,HD291763,4987,4.5,-0.610,-0.360,-0.343,-0.210,-0.450,-0.404,-0.157,-0.448,-0.127,-0.455,0.021,-0.502,-0.547,-0.698,-0.413,-0.568
21414,HD29263,5780,4.35,0.030,0.085,0.070,0.080,0.053,0.012,0.093,0.108,0.062,0.112,0.065,0.046,0.030,0.038,0.089,0.041
21368,HD29303,5819,4.52,-0.120,-0.135,-0.197,-0.170,-0.160,-0.078,-0.193,-0.157,-0.093,-0.158,-0.181,-0.124,-0.103,-0.185,-0.197,-0.172
21438,HD29428,5743,4.48,-0.060,-0.080,-0.077,0.360,-0.105,-0.043,-0.033,-0.042,-0.019,-0.047,-0.051,-0.063,-0.097,-0.083,-0.070,-0.101
