HIP,Teff,logg,FeH,OH,NaH,MgH,AlH,SiH,CaH,TiH,CrH,NiH,ZnH,YH,BaH
109214,5976,4.11,-0.14,0.05,0.02,0.14,0.11,0.05,0.04,0.01,-0.02,-0.02,-0.04,-0.14,-0.02
109266,6224,4.34,-0.37,0.03,-0.04,0.20,0.15,0.06,0.18,0.18,-0.05,-0.04,-0.03,-0.08,0.08
109378,5540,4.51,0.24,-0.04,0.02,0.02,0.06,0.04,-0.08,0.10,0.02,0.04,0.10,0.07,-0.05
109381,5803,4.46,0.13,-0.07,0.02,-0.02,-0.05,0.01,-0.01,0.00,0.01,0.02,0.21,0.00,0.02
109450,5921,4.32,-0.06,0.01,-0.02,0.07,0.13,0.00,0.01,0.03,0.02,-0.03,0.00,-0.11,-0.04
109650,5723,4.43,-0.20,0.11,-0.05,0.02,0.00,-0.03,0.07,0.05,0.04,-0.08,-0.06,0.04,0.22
109795,5848,3.78,-0.13,0.00,0.06,0.13,0.10,0.05,0.06,-0.03,-0.03,-0.03,0.04,-0.10,0.08
109821,5797,4.45,-0.07,0.07,-0.06,0.05,0.10,-0.01,-0.01,0.09,-0.02,-0.03,-0.04,-0.08,-0.04
110028,5828,4.37,0.20,-0.13,0.05,-0.05,0.00,0.02,0.00,-0.02,0.01,0.04,-0.01,-0.04,-0.07
110035,5907,4.42,-0.14,-0.05,-0.04,0.04,0.02,0.00,0.02,0.02,-0.02,-0.03,0.16,-0.09,0.03
110084,5365,4.35,-0.27,0.38,-0.01,0.21,0.20,0.19,0.09,0.21,0.02,0.02,0.10,0.05,-0.12
110102,5796,4.07,-0.27,0.15,-0.01,0.23,0.14,0.06,0.12,0.05,0.01,-0.07,-0.02,-0.22,-0.06
110109,5825,4.38,-0.23,0.10,0.01,0.08,0.09,0.05,0.02,0.05,0.01,-0.02,0.00,-0.07,0.03
110341,6577,4.35,-0.09,-0.02,-0.04,0.05,-0.06,-0.01,0.08,0.05,-0.03,-0.08,-0.13,0.05,0.21
110454,5678,3.78,-0.26,0.03,0.02,0.15,0.04,0.01,0.05,0.01,-0.02,-0.03,0.02,-0.03,0.10
110468,4996,4.65,-0.77,0.52,0.01,0.37,0.33,0.21,0.25,0.48,0.18,0.02,0.12,0.34,-0.13
110512,5802,4.29,-0.27,0.32,0.02,0.17,0.23,0.10,0.09,0.19,0.02,0.00,0.17,-0.11,-0.03
110712,5952,4.29,0.02,-0.09,-0.04,0.03,-0.01,-0.01,0.02,-0.01,-0.02,-0.02,0.08,-0.07,0.04
110843,5656,4.41,0.29,-0.10,0.09,-0.09,0.01,0.03,-0.05,-0.01,0.02,0.06,0.05,0.01,-0.04
111274,5622,4.07,-0.17,0.30,0.06,0.22,0.24,0.13,0.10,0.17,-0.01,0.01,0.09,-0.12,-0.09
111312,5145,3.61,-0.26,0.07,0.05,0.16,0.14,0.09,0.09,0.07,0.00,0.01,0.00,-0.04,0.04
111517,5522,3.93,-0.34,0.41,0.10,0.28,0.26,0.18,0.16,0.22,-0.01,0.02,0.13,-0.07,-0.07
111565,5534,4.44,-0.48,0.49,0.06,0.34,0.28,0.21,0.19,0.26,0.05,0.04,0.29,-0.04,-0.09
111648,5282,4.52,-0.45,0.50,0.04,0.30,0.31,0.24,0.14,0.35,0.07,0.05,0.20,0.20,-0.21
111746,5638,4.41,-0.37,0.23,-0.01,0.10,0.10,0.06,0.04,0.05,0.00,-0.03,0.02,-0.10,-0.07
111978,5353,4.47,0.19,0.02,0.02,-0.06,-0.03,0.07,-0.08,-0.01,0.03,0.09,0.09,0.02,0.00
112151,5039,3.49,-0.45,99.99,0.06,0.31,0.34,0.23,0.19,0.34,0.01,0.09,0.11,0.06,-0.10
112201,5692,4.33,0.13,0.00,0.06,-0.01,0.06,0.06,0.01,0.00,0.01,0.06,-0.01,-0.03,0.01
112243,5527,4.35,-0.18,0.28,0.02,0.16,0.15,0.12,0.06,0.12,0.00,0.01,0.27,-0.07,-0.04
113044,6024,4.10,0.26,-0.19,0.08,0.05,0.10,0.03,0.02,-0.01,-0.02,0.03,0.00,0.00,-0.01
113113,5613,4.36,-0.14,0.08,-0.09,0.03,0.04,0.02,0.02,0.00,0.00,-0.05,-0.05,-0.13,-0.01
113137,5975,4.41,0.29,-0.23,0.05,-0.04,0.07,-0.01,-0.01,0.09,0.04,0.05,0.08,-0.05,-0.06
113174,6860,4.11,-0.08,99.99,-0.01,-0.07,99.99,-0.04,0.09,0.07,0.00,-0.08,-0.12,0.05,0.64
113357,5858,4.44,0.24,-0.25,0.09,-0.07,0.05,-0.02,-0.02,0.04,0.01,0.05,0.05,-0.04,-0.07
113386,5736,3.94,-0.06,-0.05,0.02,0.06,0.09,0.03,0.04,0.03,0.00,-0.01,-0.03,-0.10,-0.03
113421,5647,4.42,0.34,-0.14,0.12,0.01,0.03,-0.01,-0.07,0.03,0.03,0.05,0.04,-0.01,-0.13
113454,5665,4.41,-0.28,0.14,-0.02,0.07,0.02,0.02,0.05,0.03,0.04,-0.04,0.00,0.02,0.12
113543,5793,3.99,-0.28,0.25,0.00,0.28,0.20,0.09,0.13,0.13,0.04,-0.06,0.08,-0.11,-0.01
113677,5423,3.80,-0.12,0.06,0.00,0.10,0.09,0.05,0.05,0.04,-0.01,-0.01,0.08,-0.08,-0.01
113688,5757,4.29,-0.14,0.11,-0.09,-0.02,0.02,0.00,0.03,0.03,0.00,-0.07,-0.01,-0.06,-0.04
113777,5070,3.74,-0.24,0.29,0.04,0.23,0.25,0.16,0.13,0.23,0.00,0.06,0.21,0.01,-0.09
114040,5605,4.36,0.02,0.14,0.02,0.11,0.11,0.07,0.01,0.09,0.01,0.03,0.26,-0.06,-0.07
114333,5748,4.28,0.04,0.01,0.02,0.06,0.04,0.03,0.01,0.01,0.00,0.00,0.04,-0.07,-0.01
