HIP,Teff,logg,FeH,OH,NaH,MgH,AlH,SiH,CaH,TiH,CrH,NiH,ZnH,YH,BaH
10798,5302,4.61,-0.51,0.30,0.02,0.08,0.13,0.10,0.01,0.12,0.05,0.00,0.10,0.07,0.07
10842,5457,4.34,-0.36,0.47,0.02,0.33,0.29,0.19,0.12,0.22,0.07,0.00,0.16,0.02,-0.15
10977,5014,4.57,-0.14,0.01,-0.09,-0.02,0.02,-0.02,-0.02,0.12,0.10,-0.01,-0.01,0.26,0.05
11072,5917,3.96,0.00,-0.03,0.07,0.05,0.08,0.03,0.02,0.02,0.00,0.00,0.01,-0.08,0.01
11205,5445,4.38,-0.06,0.13,-0.04,0.06,0.05,0.06,0.00,0.03,0.01,0.01,0.03,-0.03,-0.03
11309,6195,3.99,-0.34,99.99,0.08,0.08,0.08,0.07,0.07,0.04,-0.06,0.01,-0.07,-0.13,0.10
11586,6391,4.01,-0.45,0.17,0.08,0.19,99.99,0.05,0.09,0.08,-0.04,-0.05,-0.14,-0.06,0.06
12048,5751,3.99,0.12,-0.10,-0.05,0.12,0.09,0.02,0.02,-0.02,-0.03,-0.02,-0.05,-0.20,-0.08
12186,5885,4.23,0.18,-0.19,-0.08,-0.04,0.08,-0.03,-0.01,0.03,-0.02,-0.02,0.00,-0.10,-0.10
12306,5832,4.44,-0.52,99.99,0.06,0.28,0.19,0.15,0.13,0.24,0.02,0.05,0.07,-0.11,-0.03
12381,6195,4.07,-0.23,0.17,-0.01,0.18,-0.01,0.08,0.08,0.03,-0.04,-0.06,0.05,0.17,0.06
12411,5513,4.45,-0.14,0.17,-0.04,0.08,0.11,0.05,0.01,0.08,0.01,-0.01,0.08,-0.04,-0.14
12444,6383,4.41,0.09,-0.19,-0.05,-0.04,-0.10,0.00,0.05,-0.03,0.01,-0.08,-0.10,0.10,0.24
12483,5703,3.87,-0.70,0.63,0.11,0.37,0.20,0.26,0.26,0.24,-0.01,-0.02,0.17,-0.08,-0.03
12611,5431,3.97,0.36,-0.27,0.08,-0.08,0.08,0.00,-0.02,0.07,-0.02,0.04,0.13,0.02,-0.10
12653,6375,4.73,0.27,-0.27,-0.06,-0.11,-0.11,-0.08,-0.02,0.02,0.00,-0.03,-0.11,0.10,0.12
12889,5999,4.23,-0.13,0.04,0.04,0.11,0.06,0.03,0.04,0.00,-0.04,-0.03,-0.01,-0.09,-0.05
13315,5674,3.84,-0.32,0.07,0.03,0.15,0.09,0.04,0.04,0.02,-0.03,-0.04,0.21,-0.07,0.09
13341,5821,4.34,0.03,-0.02,0.04,0.02,0.08,0.02,0.01,0.02,0.00,0.00,-0.02,-0.05,-0.04
13350,5431,4.39,-0.18,0.18,-0.03,0.09,0.06,0.06,0.03,0.03,0.03,0.00,0.09,-0.04,0.00
13366,5856,4.26,-0.69,0.54,0.10,0.37,0.23,0.22,0.24,0.28,0.01,-0.01,0.22,-0.03,-0.11
13388,5080,4.59,-0.41,0.36,0.02,0.23,0.29,0.18,0.07,0.38,0.13,0.06,0.23,0.27,-0.14
13513,5159,4.58,0.06,0.11,0.02,-0.01,0.10,0.06,-0.04,0.17,0.15,0.03,0.00,0.24,-0.16
13848,5425,4.47,0.22,0.06,0.01,0.08,0.09,0.12,-0.05,0.07,0.05,0.09,0.30,-0.02,-0.03
13902,5898,4.31,-0.26,0.14,-0.04,0.13,0.04,0.02,0.07,0.07,0.00,-0.05,-0.14,-0.14,-0.03
13938,6372,4.18,0.07,-0.09,0.08,0.09,-0.03,0.06,0.06,-0.05,-0.02,-0.04,-0.16,-0.04,0.03
14016,5418,3.95,-0.17,0.25,0.08,0.30,0.27,0.15,0.11,0.16,0.00,0.03,0.14,-0.09,-0.08
14023,5180,4.42,0.14,0.14,0.02,0.03,0.01,0.06,-0.09,0.01,0.03,0.05,0.08,-0.01,-0.09
14086,5095,3.47,-0.56,0.33,0.04,0.42,0.35,0.23,0.28,0.36,0.04,0.01,0.19,0.11,-0.11
14241,5430,4.33,-0.45,0.59,0.05,0.38,0.34,0.24,0.17,0.30,0.10,0.03,0.22,0.14,-0.13
14339,5757,4.26,-0.06,0.07,-0.06,0.06,-0.01,0.03,0.02,0.07,-0.01,-0.04,0.08,-0.07,-0.02
14561,6107,4.20,0.31,-0.15,0.12,0.10,0.09,0.06,-0.01,-0.03,-0.02,0.02,-0.02,-0.05,-0.18
14879,6199,3.92,-0.18,0.09,0.01,0.10,0.05,0.03,0.05,0.03,-0.02,-0.06,-0.07,-0.05,0.22
14954,6424,4.54,0.31,-0.28,0.09,-0.04,0.02,-0.01,-0.06,0.05,0.00,0.00,0.02,0.01,-0.07
15131,5985,4.54,-0.43,99.99,0.11,0.10,0.05,0.03,0.03,0.08,0.00,0.01,0.01,-0.23,-0.07
15158,6191,4.18,-0.06,0.05,0.04,0.08,0.00,0.04,0.03,-0.01,-0.04,-0.04,-0.01,-0.02,0.00
15371,5826,4.41,-0.24,0.10,-0.02,0.08,0.08,0.05,0.04,0.04,0.00,-0.02,0.02,-0.12,0.03
15381,5882,4.24,0.08,-0.05,0.06,0.08,0.06,0.05,0.01,-0.02,-0.01,0.01,0.01,-0.10,-0.14
15510,5372,4.47,-0.46,99.99,0.07,0.33,0.32,0.22,0.13,0.32,0.03,0.06,0.30,0.19,-0.23
15940,5546,3.91,-0.44,0.38,0.05,0.26,0.23,0.15,0.16,0.21,-0.03,-0.01,0.16,-0.09,-0.06
16169,5650,4.34,-0.57,0.51,0.06,0.32,0.25,0.20,0.17,0.23,0.01,0.02,0.15,-0.12,-0.16
16365,5789,4.27,-0.43,0.37,0.06,0.27,0.16,0.13,0.16,0.22,0.01,-0.01,0.29,-0.07,-0.03
16391,5699,4.11,-0.05,0.07,0.01,0.18,0.17,0.05,0.10,0.14,-0.01,-0.01,0.18,-0.06,0.07
16404,5149,4.64,-2.26,99.99,-0.40,0.25,99.99,99.99,0.23,0.31,0.12,0.01,0.35,-0.12,-0.39
16492,5058,3.53,-0.54,0.42,0.06,0.39,0.33,0.23,0.22,0.27,0.01,0.04,0.17,-0.01,-0.06
16788,6021,4.41,-0.31,99.99,0.06,0.14,0.14,0.03,0.07,0.10,-0.04,0.03,0.09,0.80,0.88
16852,6036,4.08,-0.03,-0.03,0.06,0.06,0.07,0.02,0.03,0.01,-0.01,-0.02,0.00,-0.07,0.07
17147,5970,4.52,-0.81,0.53,0.06,0.35,0.33,0.23,0.24,0.33,0.03,0.01,0.09,0.12,-0.01
17378,5113,3.84,0.20,-0.34,0.07,0.02,0.06,0.01,-0.01,0.06,0.05,0.03,0.13,0.03,-0.14
17970,5204,4.50,-0.49,0.31,-0.07,0.17,0.13,0.13,0.05,0.13,0.01,0.00,0.18,-0.04,-0.05
17987,5500,3.90,-0.48,0.50,0.09,0.36,0.28,0.20,0.19,0.22,-0.02,0.03,0.15,-0.09,-0.13
18164,6635,3.87,-0.53,0.17,0.08,0.10,-0.44,0.00,0.01,0.03,-0.04,-0.08,-0.25,-0.08,0.24
18331,6534,4.23,0.16,-0.04,-0.01,0.20,0.03,0.03,0.04,0.01,-0.04,-0.04,-0.10,-0.19,0.11
18612,5847,4.33,-0.13,0.05,-0.02,0.07,0.05,0.00,0.02,0.02,0.00,-0.02,0.10,-0.09,-0.08
18802,5861,4.14,-0.93,0.56,0.09,0.37,0.18,0.19,0.23,0.18,-0.04,-0.03,0.17,-0.18,-0.14
18833,6301,3.91,-0.53,99.99,0.07,0.03,0.20,0.07,0.12,0.09,-0.10,0.02,-0.09,-0.05,0.20
19233,5803,4.29,-0.07,0.01,-0.02,0.07,0.03,0.01,0.02,-0.01,-0.01,-0.03,-0.07,-0.12,-0.04
19773,6429,4.25,-0.52,0.14,0.05,0.14,-0.06,0.06,0.10,0.10,-0.02,-0.04,0.01,-0.12,-0.02
20199,5638,4.40,-0.16,0.22,-0.01,0.14,0.15,0.08,0.07,0.14,0.01,-0.01,0.08,0.00,-0.04
20242,5717,4.11,-0.23,99.99,0.00,0.13,0.21,0.03,0.16,0.11,0.00,-0.01,0.03,-0.11,0.06
20489,5840,4.33,0.28,-0.22,0.10,-0.03,0.00,0.03,-0.03,0.04,0.01,0.06,0.05,-0.01,-0.15
20638,5755,4.34,-0.46,0.44,0.09,0.32,0.27,0.18,0.19,0.27,0.03,0.02,0.16,-0.10,-0.11
20677,5674,4.17,-0.32,0.38,0.05,0.31,0.22,0.17,0.17,0.20,0.01,0.03,0.17,0.20,0.15
21079,5792,4.43,-0.11,0.03,-0.07,-0.05,-0.08,-0.03,0.04,0.01,0.02,-0.09,-0.13,0.13,0.21
21731,5530,4.39,0.22,-0.05,-0.03,-0.03,0.00,0.05,-0.05,0.06,0.03,0.02,0.09,0.07,-0.07
21832,5643,4.48,-0.60,99.99,0.07,0.29,0.27,0.19,0.16,0.27,0.04,0.07,0.15,-0.09,-0.01
21839,5804,4.00,-0.15,0.00,-0.03,0.15,0.06,0.04,0.06,0.03,-0.04,-0.05,0.10,-0.18,-0.06
22068,6202,4.18,-1.42,99.99,0.03,0.32,99.99,0.27,0.30,0.34,-0.02,-0.03,0.06,-0.02,-0.15
22162,5785,4.04,0.08,-0.10,-0.06,0.01,0.06,-0.02,-0.01,-0.01,-0.03,-0.02,-0.17,0.04,0.05
22263,5790,4.54,0.02,0.07,-0.11,-0.06,-0.02,-0.03,0.04,0.01,0.03,-0.06,-0.03,0.14,0.17
22278,5738,4.27,0.15,-0.17,-0.01,0.01,0.04,0.02,-0.01,0.01,0.01,0.01,-0.04,-0.09,-0.01
22325,6497,4.36,0.21,-0.24,-0.04,-0.06,-0.07,-0.04,0.00,0.06,-0.03,-0.07,-0.13,0.09,0.15
22336,5923,4.06,0.26,-0.21,0.06,0.05,0.13,0.03,0.05,0.00,-0.01,0.02,-0.06,-0.03,0.00
22349,5758,4.35,-0.35,0.35,0.09,0.24,0.24,0.15,0.13,0.21,0.01,0.02,0.13,-0.09,-0.12
22395,5750,4.46,0.06,0.02,0.03,-0.03,-0.01,0.00,0.06,0.01,0.03,0.01,0.13,-0.01,0.08
22632,5909,4.22,-1.62,0.75,-0.05,0.39,99.99,0.27,0.30,0.26,-0.06,-0.06,0.09,-0.23,-0.29
22824,5934,4.07,-0.13,0.01,-0.01,0.17,0.11,0.05,0.08,0.04,-0.01,-0.03,0.01,-0.10,-0.02
23383,5409,4.37,-0.22,0.33,0.01,0.14,0.17,0.14,0.04,0.16,0.01,0.03,0.16,0.02,-0.05
23555,6466,4.64,0.22,-0.16,0.03,-0.02,0.00,-0.02,-0.03,0.04,0.02,-0.04,-0.09,0.06,-0.01
23941,6406,3.94,-0.24,0.20,0.06,0.07,0.11,0.07,0.10,0.01,-0.03,-0.06,-0.14,-0.02,0.29
24037,5441,4.34,-0.50,0.51,0.06,0.28,0.27,0.20,0.16,0.25,0.02,0.04,0.39,0.06,-0.06
24682,5242,3.62,-0.34,-0.22,0.02,0.12,0.10,0.07,0.07,0.06,-0.02,-0.01,0.10,-0.12,-0.08
24722,5580,4.36,-0.28,0.43,0.07,0.19,0.23,0.14,0.09,0.21,0.03,0.01,0.16,0.01,-0.09
24819,4872,4.62,-0.21,-0.10,-0.01,-0.01,0.09,-0.07,0.06,0.34,0.18,-0.02,-0.01,0.24,-0.04
24829,6411,4.07,0.07,99.99,-0.02,0.00,0.00,-0.01,0.02,-0.01,-0.04,-0.07,-0.16,0.25,0.24
25209,6848,4.07,0.00,0.24,0.06,0.07,-0.05,0.01,0.02,0.00,-0.02,-0.06,0.02,0.03,0.34
25528,6336,3.87,-0.40,0.54,0.16,0.38,0.23,0.20,0.21,0.26,-0.01,0.00,0.11,-0.09,0.13
25905,5480,4.42,-0.23,0.13,-0.02,0.07,0.09,0.06,0.02,0.07,0.05,-0.01,0.07,0.11,-0.02
26273,5429,3.76,-0.40,0.09,-0.05,0.22,0.16,0.04,0.08,0.12,0.01,-0.08,0.07,-0.08,-0.04
26641,5506,4.68,-0.60,99.99,99.99,-0.04,99.99,99.99,0.00,0.21,0.01,-0.02,99.99,0.03,99.99
26828,6457,4.14,-0.34,99.99,0.17,0.18,0.18,0.18,0.18,0.19,-0.07,0.03,0.08,-0.14,-0.02
27072,6323,4.16,-0.02,99.99,-0.01,-0.01,0.04,0.01,0.10,-0.03,-0.03,-0.09,-0.15,-0.02,0.15
27080,5144,4.56,-0.67,0.61,0.02,0.33,0.33,0.23,0.13,0.32,0.09,0.06,0.14,0.18,-0.19
27128,5892,4.02,-0.88,0.59,0.08,0.38,0.25,0.25,0.23,0.23,-0.05,-0.03,0.27,-0.09,-0.02
27910,5113,4.42,0.01,0.18,-0.10,0.00,0.03,0.06,-0.09,0.09,0.05,0.04,0.03,0.06,-0.10
28044,5361,3.61,-0.07,0.02,0.00,0.18,0.14,0.08,0.05,0.04,0.02,-0.03,-0.04,0.08,-0.03
28066,5655,4.12,-0.17,0.28,0.05,0.17,0.21,0.13,0.10,0.13,0.02,0.01,0.11,-0.02,-0.06
28159,5668,4.06,-0.40,99.99,0.06,0.16,0.26,0.18,0.15,0.21,0.05,0.00,0.23,-0.17,-0.13
28267,5444,4.29,-0.16,0.26,0.03,0.13,0.18,0.11,0.06,0.13,0.04,0.01,0.17,-0.01,-0.10
28369,6940,3.97,-0.15,0.51,0.05,0.10,-0.22,0.03,0.05,0.02,-0.02,-0.06,-0.12,0.03,0.42
28403,5668,4.31,-0.33,0.16,-0.08,0.18,0.14,0.05,0.04,0.07,-0.01,-0.06,0.03,-0.15,-0.07
28671,5396,4.39,-1.11,99.99,-0.12,0.11,0.00,0.16,0.29,0.27,0.10,-0.13,0.15,-0.04,0.01
29271,5517,4.48,0.07,0.11,0.03,-0.02,0.03,0.06,-0.04,0.03,0.03,0.06,0.03,0.03,-0.10
29716,6337,3.89,-0.08,0.10,0.01,0.04,0.04,0.01,0.10,0.04,-0.04,-0.07,-0.07,0.04,0.33
30158,5708,4.35,0.05,-0.11,0.02,0.15,0.11,0.02,0.01,0.01,0.01,0.00,-0.01,-0.08,-0.12
30439,5353,3.79,-0.57,0.49,0.06,0.36,0.29,0.22,0.26,0.30,0.01,0.01,0.16,0.06,-0.08
30476,5665,4.14,-0.06,0.13,0.03,0.20,0.19,0.08,0.07,0.06,-0.01,-0.01,0.30,-0.19,-0.06
30480,5980,4.37,0.25,-0.17,0.08,-0.02,0.02,-0.04,-0.06,0.00,-0.02,0.03,0.03,0.21,0.04
30503,5845,4.43,0.06,-0.03,0.00,-0.03,0.01,-0.01,0.00,-0.01,0.00,-0.03,-0.02,0.04,0.03
30545,6042,3.89,-0.03,-0.05,0.02,0.04,0.08,0.03,0.06,0.01,-0.02,-0.05,-0.02,-0.05,0.12
31030,5129,3.48,-0.44,0.18,0.01,0.21,0.16,0.09,0.10,0.12,0.00,-0.01,0.07,-0.05,-0.07
32649,5385,3.87,-0.26,0.37,0.08,0.24,0.27,0.16,0.14,0.22,0.00,0.05,0.14,-0.07,-0.12
33094,5612,4.03,0.04,0.11,0.07,0.13,0.15,0.08,0.04,0.10,-0.02,0.03,0.30,-0.03,-0.11
33220,6767,4.07,-0.64,0.41,0.14,0.34,0.02,0.18,0.15,0.20,-0.04,-0.04,0.17,-0.12,-0.21
33324,5826,4.24,-0.68,0.50,0.10,0.37,0.22,0.22,0.20,0.22,0.01,0.01,0.16,-0.11,-0.08
33582,5773,4.11,-0.62,0.44,0.06,0.36,0.26,0.18,0.20,0.19,-0.04,0.02,0.19,-0.18,-0.15
33642,5754,4.09,-0.24,0.18,0.03,0.18,0.18,0.08,0.12,0.12,-0.01,-0.01,0.15,-0.09,0.00
34017,5920,4.42,-0.12,99.99,-0.01,0.04,0.06,0.01,0.04,0.03,0.02,-0.02,0.56,-0.07,-0.01
34028,5224,3.37,-0.11,0.26,0.11,0.13,0.11,0.01,0.13,0.06,0.06,-0.01,-0.07,-0.01,-0.01
34065,5751,4.14,-0.25,0.19,0.01,0.18,0.11,0.07,0.08,0.08,-0.01,-0.03,0.04,-0.18,-0.07
34069,5169,4.40,-0.31,0.39,-0.01,0.09,0.14,0.12,0.03,0.14,0.04,0.02,0.17,0.06,-0.12
34212,6199,4.26,-0.04,0.03,0.04,0.06,-0.05,0.00,0.00,-0.03,-0.06,-0.05,-0.10,-0.20,-0.11
34254,5600,3.82,-0.04,-0.02,0.08,0.16,0.04,0.06,0.04,0.01,-0.03,-0.01,-0.06,-0.14,-0.04
34285,5984,4.26,-0.96,0.28,-0.29,0.17,-0.20,0.02,0.13,0.09,0.01,-0.22,0.04,-0.28,-0.22
34410,6197,4.01,-0.26,0.06,0.06,0.18,0.04,0.05,0.04,0.00,-0.02,-0.04,0.18,-0.11,0.05
34511,5789,4.44,-0.11,0.05,-0.04,-0.01,-0.03,-0.01,0.00,0.00,-0.01,-0.04,-0.06,0.01,0.08
34739,5409,4.40,-0.35,0.41,0.01,0.23,0.24,0.15,0.11,0.17,0.02,0.03,0.13,-0.02,-0.07
34961,5277,4.41,-0.44,0.41,0.06,0.27,0.28,0.18,0.10,0.26,0.04,0.04,0.26,0.14,-0.10
35139,5771,4.47,-0.52,0.14,0.04,0.21,0.08,0.07,0.06,0.08,0.00,-0.03,0.09,-0.09,0.06
35148,5869,4.07,-0.20,0.12,-0.02,0.08,0.01,0.01,0.05,0.05,0.00,-0.05,0.08,-0.13,-0.04
35318,5972,3.97,-0.54,0.29,0.04,0.18,0.08,0.07,0.09,0.05,-0.02,-0.07,0.01,-0.20,0.00
35718,5310,4.46,-0.06,0.35,-0.01,0.07,0.13,0.13,-0.01,0.12,0.01,0.03,0.16,0.02,-0.03
35750,5004,4.54,0.04,-0.01,-0.15,0.01,-0.02,0.02,-0.10,0.12,0.04,-0.01,-0.03,0.10,-0.09
36210,5564,4.38,0.03,0.07,0.01,0.03,0.08,0.06,-0.02,0.04,0.05,0.02,0.02,-0.01,-0.04
36269,6152,3.97,-1.66,0.50,99.99,0.40,99.99,0.16,0.33,0.31,-0.07,0.02,99.99,0.18,-0.08
36491,5869,4.31,-0.95,0.54,0.11,0.44,0.32,0.26,0.24,0.25,0.02,0.02,0.07,-0.07,-0.17
36515,5859,4.52,0.00,-0.07,-0.09,-0.06,-0.05,-0.04,0.03,0.02,0.03,-0.08,-0.07,0.10,0.24
36795,6348,3.89,-0.10,99.99,-0.02,0.03,-0.07,-0.01,0.06,0.02,-0.03,-0.07,-0.10,0.04,0.18
36849,6012,4.16,-0.84,0.42,0.13,0.31,0.12,0.15,0.18,0.22,-0.05,-0.04,0.15,-0.16,-0.14
36855,5648,4.35,0.13,99.99,-0.01,0.11,0.10,0.00,-0.06,0.06,0.04,0.06,0.16,0.01,-0.08
36874,5854,4.46,-0.02,99.99,-0.08,0.00,0.09,-0.01,-0.01,0.08,0.00,0.00,0.01,-0.08,0.00
36993,5985,4.49,0.21,99.99,0.00,-0.06,0.01,0.00,-0.02,0.00,0.03,0.00,-0.08,-0.01,0.05
37171,5562,4.33,0.13,-0.01,0.21,0.01,0.07,0.08,-0.05,0.01,0.04,0.10,0.11,-0.02,-0.18
37233,5694,4.02,-0.47,0.35,0.01,0.32,0.29,0.20,0.25,0.30,-0.03,0.03,0.06,-0.01,-0.02
37419,5715,4.38,-0.33,0.14,-0.05,0.08,0.08,0.03,0.04,0.03,-0.02,-0.05,0.01,-0.12,-0.07
37520,5920,4.37,0.41,99.99,0.12,0.00,-0.01,-0.01,-0.04,0.00,-0.01,0.02,0.11,-0.08,-0.05
37789,5979,4.22,-0.63,99.99,0.02,0.27,0.09,0.14,0.13,0.19,0.00,0.00,0.04,-0.12,0.02
37853,5852,4.24,-0.81,0.56,0.15,0.41,0.26,0.20,0.26,0.29,0.00,0.00,0.23,-0.07,-0.09
38134,5837,4.23,-0.89,0.63,0.11,0.40,0.24,0.24,0.29,0.27,0.06,0.01,0.17,0.03,0.00
38541,5316,4.60,-1.84,99.99,-0.11,0.30,99.99,0.27,0.30,0.32,0.17,-0.05,0.21,-0.03,-0.21
38625,5188,4.40,-0.91,0.73,0.09,0.38,0.32,0.27,0.24,0.31,0.08,0.03,0.23,0.05,-0.15
38750,5763,3.92,-0.35,0.41,0.10,0.32,0.23,0.18,0.21,0.23,0.00,0.00,0.27,-0.02,-0.04
38782,5683,4.08,-0.05,0.15,0.02,0.10,0.15,0.06,0.03,0.06,-0.03,-0.03,0.02,-0.17,-0.07
38862,5749,4.35,-0.19,0.12,-0.02,0.12,0.07,0.05,0.05,0.02,-0.01,-0.01,0.21,-0.08,-0.01
38926,5998,4.42,-0.36,99.99,0.02,0.06,0.05,0.06,0.07,0.08,0.00,-0.03,-0.07,-0.11,0.01
39911,5598,4.45,-0.84,0.49,0.02,0.35,0.25,0.17,0.21,0.24,0.00,0.01,0.15,-0.04,-0.07
40613,5794,4.13,-0.63,99.99,0.13,0.41,0.37,0.24,0.27,0.31,-0.02,0.05,0.11,-0.06,-0.07
40761,5893,4.43,0.25,99.99,0.12,0.03,0.06,0.07,-0.03,0.04,0.05,0.06,0.02,-0.04,-0.03
40794,5730,4.15,-0.32,0.30,0.06,0.29,0.21,0.14,0.18,0.22,-0.01,0.01,0.12,-0.14,-0.08
41471,5876,3.89,-0.04,0.04,0.05,0.11,-0.01,0.03,0.02,-0.01,-0.04,-0.02,0.02,-0.04,-0.03
41544,6701,4.21,-0.14,99.99,0.13,-0.01,99.99,0.00,0.11,0.00,-0.10,-0.02,99.99,0.11,0.06
42356,5962,4.42,0.17,99.99,0.06,-0.03,0.02,0.02,0.00,0.00,-0.01,0.03,0.02,-0.02,-0.03
42612,5802,4.10,-0.03,0.00,-0.08,0.02,0.02,-0.01,0.02,0.02,-0.02,-0.06,-0.06,-0.15,-0.07
42734,5841,4.07,-0.55,99.99,0.14,0.27,0.29,0.13,0.27,0.28,0.01,0.01,0.05,-0.16,-0.06
42889,5725,4.15,-0.33,0.34,0.05,0.19,0.23,0.13,0.17,0.22,-0.03,-0.01,0.17,-0.10,-0.10
43054,5816,4.14,-0.03,-0.02,-0.05,0.11,0.05,-0.02,0.05,0.04,-0.02,-0.06,-0.04,-0.11,-0.04
43393,5213,4.51,-0.61,0.66,0.06,0.35,0.31,0.25,0.16,0.31,0.04,0.05,0.21,0.00,-0.11
44075,5937,4.22,-0.90,99.99,0.03,0.37,0.26,0.23,0.26,0.31,-0.01,-0.01,0.11,0.09,0.01
44319,5990,4.32,0.12,-0.11,0.03,0.07,0.07,0.01,0.01,-0.01,0.00,0.02,0.19,-0.07,0.01
44441,6453,4.32,-0.07,99.99,-0.02,0.01,-0.09,-0.05,0.04,0.03,-0.06,-0.08,-0.15,-0.01,0.27
44713,5823,4.34,0.14,-0.05,-0.05,0.03,0.11,0.01,0.00,0.04,0.01,-0.02,-0.01,-0.05,-0.09
44821,4933,4.62,-0.12,0.05,-0.08,0.03,0.01,-0.03,0.05,0.22,0.13,0.04,-0.08,0.29,-0.05
44860,5701,4.29,-0.48,99.99,0.11,0.35,0.31,0.23,0.21,0.29,0.03,0.07,0.20,-0.01,-0.03
44896,5808,4.09,-0.23,0.11,-0.03,0.13,0.04,0.03,0.05,0.08,-0.03,-0.07,0.00,-0.13,-0.02
44915,6108,3.97,0.14,-0.12,0.09,0.03,0.02,0.03,0.03,-0.03,-0.02,-0.01,0.06,-0.01,-0.02
44927,5997,3.93,-0.18,0.38,0.12,0.31,0.30,0.17,0.14,0.19,-0.03,-0.01,0.14,-0.12,-0.01
45283,5830,4.27,-0.63,99.99,0.10,0.38,0.12,0.21,0.24,0.30,0.01,0.04,0.15,0.01,-0.10
45514,5302,3.82,-0.27,0.30,0.08,0.25,0.24,0.16,0.10,0.19,0.00,0.02,0.21,-0.02,-0.11
45733,5981,4.40,-0.47,0.39,0.02,0.24,0.10,0.15,0.13,0.15,-0.02,-0.02,0.13,-0.14,-0.02
46685,5414,4.35,-0.08,0.27,0.04,0.13,0.16,0.11,0.02,0.14,0.01,0.05,0.20,-0.04,-0.10
46888,5776,3.89,-0.07,-0.04,0.01,0.10,0.03,0.01,0.05,0.02,-0.02,-0.02,0.07,0.00,0.12
47048,6630,4.12,-0.50,0.16,0.13,0.27,-0.13,0.06,0.10,0.02,-0.10,-0.09,-0.14,-0.13,0.05
47588,5755,4.11,-0.38,0.32,0.07,0.21,0.21,0.14,0.17,0.23,-0.03,0.01,0.22,-0.07,-0.10
48152,6541,4.23,-1.92,0.43,99.99,0.28,99.99,0.26,0.33,0.39,-0.03,-0.03,0.11,0.08,0.25
48468,5968,3.87,0.11,-0.02,0.11,0.06,0.08,0.06,0.03,0.00,-0.02,0.01,0.02,-0.08,0.02
49285,5520,4.29,-0.21,0.35,0.05,0.21,0.15,0.13,0.06,0.14,0.03,-0.01,0.15,0.00,-0.04
49793,5764,4.33,-0.63,99.99,0.09,0.31,0.30,0.20,0.20,0.27,0.04,0.04,0.18,-0.03,-0.12
49942,5676,4.36,-0.27,99.99,0.05,0.21,0.30,0.19,0.16,0.26,0.04,0.03,0.14,-0.06,-0.12
49988,6003,4.02,-0.43,0.15,0.00,0.16,0.06,0.03,0.08,0.06,-0.02,-0.06,0.00,0.53,0.76
50274,5174,4.45,-0.34,0.26,-0.10,0.10,0.09,0.10,0.01,0.13,0.00,-0.02,0.05,0.06,-0.07
50316,5877,4.17,0.06,99.99,0.01,-0.01,0.06,0.02,0.01,0.03,-0.03,-0.01,0.02,-0.12,-0.05
50671,6014,4.33,-0.38,0.13,0.07,0.09,-0.02,0.04,0.06,0.03,-0.03,-0.03,0.11,-0.11,0.09
50713,5263,4.46,-0.11,0.17,-0.09,0.09,0.03,0.08,-0.03,0.04,-0.01,-0.01,0.26,0.01,-0.02
50834,6552,4.23,-0.27,0.08,0.06,0.13,-0.08,0.05,0.06,0.00,-0.03,-0.09,-0.19,-0.04,0.09
50907,6205,4.27,0.33,-0.19,0.18,0.02,0.00,0.04,-0.01,-0.04,-0.01,0.06,0.21,-0.16,-0.15
50941,5480,3.67,-0.71,0.61,0.11,0.41,0.31,0.27,0.29,0.30,-0.03,-0.01,0.18,0.03,-0.05
51028,5999,3.74,-0.68,0.32,0.15,0.22,-0.14,0.10,0.08,0.04,-0.02,-0.05,-0.10,-0.15,-0.03
51078,6008,4.16,0.25,-0.16,0.11,0.12,0.08,0.06,0.01,0.01,-0.01,0.06,0.15,-0.04,0.00
51477,5756,3.97,-1.00,99.99,-0.03,0.34,0.11,0.35,0.29,0.28,-0.02,0.00,0.23,0.24,0.24
51579,5896,4.23,0.20,99.99,0.13,-0.02,0.04,0.04,-0.01,-0.01,-0.01,0.04,0.10,-0.06,-0.08
51614,5992,3.90,0.15,-0.15,0.08,0.11,0.09,0.03,0.04,-0.01,-0.03,0.01,-0.13,-0.05,0.08
51933,6089,4.12,-0.18,0.10,0.00,0.04,0.08,0.04,0.07,0.05,0.00,-0.04,-0.05,-0.03,0.20
51938,5712,3.98,-0.41,0.45,0.06,0.40,0.33,0.19,0.20,0.28,0.02,-0.01,0.21,-0.02,-0.04
52247,5262,3.65,-0.46,0.37,0.11,0.20,0.17,0.08,0.11,0.10,0.03,-0.01,-0.09,0.05,0.23
52325,5668,4.39,-0.03,0.08,0.02,0.08,0.07,0.03,0.02,0.03,0.01,-0.01,0.02,-0.06,-0.13
52564,4885,3.05,-0.45,0.51,0.17,0.20,0.23,0.02,0.23,0.09,0.13,-0.03,-0.05,0.03,0.23
52990,6006,4.31,0.07,-0.11,0.06,0.02,0.00,0.00,-0.02,0.00,-0.02,0.02,0.00,-0.10,-0.10
53122,5696,3.99,-0.52,0.49,0.09,0.35,0.25,0.22,0.22,0.25,0.01,0.01,0.39,-0.02,-0.03
53311,5859,4.15,-0.56,99.99,0.10,0.31,0.32,0.18,0.20,0.26,-0.01,0.01,0.10,0.55,0.77
