Star,Teff,logg,[Fe/H],[Na/H],[Mg/H],[Al/H],[Si/H],[Ca/H],[ScI/H],[ScII/H],[TiI/H],[TiII/H],[V/H],[CrI/H],[CrII/H],[Mn/H],[Co/H],[Ni/H]
HD224063,5591,4.27,0.14,0.200,0.237,0.270,0.199,0.150,0.227,0.247,0.230,0.215,0.275,0.158,0.087,0.213,0.269,0.165
HD224230,4944,4.47,-0.10,0.150,-0.073,0.025,-0.125,-0.038,0.267,-0.058,0.159,-0.037,0.464,-0.072,-0.080,-0.087,0.034,-0.081
HD224287,5330,4.38,-0.29,-0.275,-0.290,-0.245,-0.263,-0.233,-0.220,-0.312,-0.223,-0.263,-0.213,-0.258,-0.277,-0.283,-0.263,-0.320
HD224347,6092,4.27,-0.42,-0.375,-0.303,-0.460,-0.328,-0.329,-0.320,-0.355,-0.316,-0.348,-0.383,-0.395,-0.400,-0.540,-0.363,-0.416
HD224393,5774,4.54,-0.38,-0.375,-0.307,-0.365,-0.355,-0.295,-0.280,-0.358,-0.293,-0.312,-0.379,-0.365,-0.363,-0.495,-0.407,-0.412
HD224432,4828,4.38,-0.06,-0.090,-0.003,-0.015,-0.046,-0.041,0.123,-0.145,0.049,-0.147,0.368,-0.062,-0.043,-0.100,0.028,-0.068
HD224433,5527,4.42,0.09,0.180,0.110,0.115,0.068,0.073,0.080,0.063,0.118,0.132,0.196,0.112,0.037,0.140,0.194,0.105
HD224578,6158,4.67,-0.01,-0.055,-0.080,-0.165,-0.078,-0.010,0.003,-0.007,0.000,0.012,-0.096,-0.006,0.003,-0.068,-0.118,-0.058
HD224619,5436,4.39,-0.20,-0.170,-0.113,-0.100,-0.143,-0.152,-0.143,-0.207,-0.105,-0.180,-0.095,-0.171,-0.200,-0.220,-0.161,-0.204
HD224685,5504,4.47,-0.40,-0.360,-0.307,-0.310,-0.346,-0.315,-0.320,-0.418,-0.287,-0.398,-0.319,-0.372,-0.467,-0.503,-0.380,-0.417
HD224789,5185,4.44,-0.03,0.035,-0.033,0.015,0.015,0.027,0.053,-0.103,0.057,-0.073,0.201,0.028,-0.047,-0.055,-0.003,-0.039
HD224817,5894,4.36,-0.53,-0.445,-0.250,-0.430,-0.359,-0.339,-0.350,-0.340,-0.291,-0.272,-0.436,-0.543,-0.513,-0.720,-0.438,-0.522
HD225297,6181,4.55,-0.09,-0.115,0.097,-0.255,-0.076,-0.057,-0.057,-0.077,-0.074,-0.057,-0.098,-0.108,-0.093,-0.145,-0.177,-0.118
HD22610,5043,4.44,-0.22,-0.160,-0.203,-0.020,-0.193,-0.193,-0.097,-0.303,-0.088,-0.203,0.042,-0.184,-0.220,-0.265,-0.205,-0.260
HD22879,5884,4.52,-0.82,-0.705,-0.477,-0.615,-0.581,-0.556,-0.550,-0.675,-0.521,-0.505,-0.713,-0.804,-0.773,-1.118,-0.602,-0.802
HD22897,4837,4.44,-0.25,-0.060,-0.237,-0.200,-0.301,-0.127,0.193,-0.290,0.035,-0.277,0.345,-0.151,-0.247,-0.283,-0.137,-0.286
HD22918,4924,3.61,0.02,-0.055,0.197,0.270,0.071,0.095,0.290,0.160,0.258,0.172,0.553,0.038,0.043,0.120,0.264,0.025
HD23030,5951,4.37,0.20,0.325,0.210,0.165,0.236,0.178,0.230,0.282,0.268,0.245,0.236,0.221,0.103,0.375,0.303,0.230
HD23079,5980,4.48,-0.12,-0.140,-0.113,-0.145,-0.108,-0.065,-0.047,-0.080,-0.082,-0.060,-0.155,-0.133,-0.103,-0.208,-0.147,-0.147
HD23249,5150,3.89,0.13,0.365,0.190,0.255,0.151,0.101,0.297,0.232,0.261,0.277,0.519,0.156,0.130,0.258,0.370,0.152
HD23356,5004,4.50,-0.17,-0.080,-0.143,-0.055,-0.136,-0.173,0.050,-0.187,0.001,-0.163,0.239,-0.133,-0.183,-0.208,-0.090,-0.172
HD23456,6178,4.56,-0.32,-0.270,-0.290,-0.345,-0.259,-0.237,-0.220,-0.238,-0.244,-0.207,-0.331,-0.332,-0.273,-0.423,-0.334,-0.335
HD23472,4813,4.38,-0.19,-0.025,-0.137,0.040,-0.173,-0.127,0.293,-0.180,0.093,-0.238,0.421,-0.109,-0.240,-0.210,-0.047,-0.168
HD23901,5264,3.93,-0.40,-0.255,-0.107,-0.055,-0.214,-0.213,-0.237,-0.210,-0.080,-0.137,-0.108,-0.356,-0.367,-0.485,-0.213,-0.360
HD24062,6107,4.62,0.28,0.240,0.157,-0.040,0.279,0.292,0.193,0.485,0.326,0.392,0.369,0.248,0.243,0.313,0.313,0.312
HD24085,6065,4.47,0.17,0.220,0.167,0.095,0.183,0.184,0.247,0.280,0.196,0.260,0.173,0.166,0.213,0.148,0.190,0.205
HD24112,6175,4.35,0.16,0.255,0.127,0.145,0.182,0.153,0.233,0.222,0.145,0.178,0.143,0.157,0.170,0.188,0.163,0.192
HD24331,4965,4.51,-0.31,-0.245,-0.247,-0.195,-0.289,-0.302,-0.130,-0.315,-0.141,-0.302,0.092,-0.274,-0.317,-0.370,-0.237,-0.310
HD24558,5274,4.40,-0.47,-0.465,-0.320,-0.295,-0.391,-0.358,-0.327,-0.437,-0.312,-0.407,-0.308,-0.415,-0.460,-0.553,-0.407,-0.483
HD24633,5276,4.36,-0.04,0.050,0.163,0.175,-0.011,0.057,0.193,0.017,0.180,0.110,0.319,0.005,-0.087,-0.030,0.076,-0.052
HD24892,5363,3.99,-0.32,-0.265,-0.150,-0.110,-0.192,-0.198,-0.207,-0.167,-0.108,-0.117,-0.165,-0.296,-0.273,-0.390,-0.216,-0.312
HD25061,5243,4.42,0.07,0.140,0.067,0.130,0.119,0.033,0.117,0.063,0.102,0.052,0.296,0.067,0.063,0.100,0.223,0.091
HD25105,5316,4.47,-0.15,-0.130,-0.127,-0.120,-0.148,-0.061,-0.107,-0.218,-0.074,-0.172,0.007,-0.118,-0.163,-0.160,-0.130,-0.174
HD25120,5134,4.47,-0.18,-0.125,-0.167,-0.170,-0.203,-0.128,-0.137,-0.302,-0.087,-0.198,0.026,-0.162,-0.193,-0.255,-0.220,-0.245
HD25171,6160,4.43,-0.11,-0.085,-0.093,-0.250,-0.097,-0.064,-0.073,-0.092,-0.087,-0.063,-0.126,-0.104,-0.107,-0.155,-0.166,-0.137
HD25357,5117,4.72,-0.03,0.015,-0.123,-0.020,-0.061,-0.041,0.143,-0.042,0.118,-0.028,0.294,-0.004,-0.047,-0.093,0.071,-0.034
HD25565,5212,4.47,0.03,0.105,0.070,0.120,0.030,0.018,0.153,0.022,0.130,0.028,0.375,0.032,-0.027,0.050,0.130,0.033
HD25587,6258,4.61,-0.12,-0.100,-0.237,-0.175,-0.106,-0.073,0.190,0.048,0.006,-0.050,-0.250,-0.148,-0.020,-0.153,-0.074,-0.160
HD2567,6038,4.44,0.22,0.285,0.210,0.285,0.214,0.205,0.263,0.282,0.223,0.272,0.240,0.221,0.213,0.218,0.238,0.258
HD25673,5136,4.47,-0.50,-0.385,-0.393,-0.345,-0.436,-0.425,-0.317,-0.467,-0.291,-0.475,-0.220,-0.449,-0.510,-0.593,-0.429,-0.508
HD25704,5942,4.52,-0.83,-0.740,-0.583,-0.740,-0.634,-0.623,99.99,-0.690,-0.596,-0.587,-0.683,-0.827,-0.750,-1.053,-0.807,-0.831
HD25912,5900,4.52,0.12,0.060,0.110,0.095,0.061,0.123,0.017,0.100,0.158,0.130,0.148,0.128,0.083,0.110,0.120,0.093
HD2638,5198,4.43,0.12,0.240,0.107,0.200,0.158,0.082,0.263,0.110,0.205,0.100,0.474,0.119,0.097,0.158,0.271,0.153
HD26430,4948,4.37,-0.26,-0.200,-0.183,-0.150,-0.202,-0.195,-0.083,-0.275,-0.115,-0.328,0.159,-0.209,-0.230,-0.268,-0.190,-0.263
HD26729,5718,4.17,0.31,0.395,0.327,0.365,0.331,0.258,0.400,0.378,0.340,0.328,0.439,0.312,0.220,0.390,0.454,0.361
HD26887,6016,4.46,-0.35,-0.250,-0.303,-0.410,-0.309,-0.283,-0.303,-0.260,-0.311,-0.280,-0.310,-0.356,-0.293,-0.448,-0.327,-0.380
HD26965A,5153,4.39,-0.31,-0.155,-0.057,0.015,-0.167,-0.154,-0.010,-0.207,0.061,-0.140,0.203,-0.239,-0.323,-0.375,-0.120,-0.271
HD27063,5767,4.44,0.05,0.040,0.053,0.035,0.043,0.075,0.077,0.032,0.077,0.048,0.065,0.070,0.013,0.030,0.026,0.040
HD27471,5871,4.25,0.11,0.150,0.117,0.160,0.146,0.103,0.160,0.220,0.110,0.208,0.127,0.083,0.093,0.150,0.140,0.131
HD2768,5548,4.40,-0.03,-0.015,-0.043,0.000,-0.051,-0.028,-0.023,-0.065,0.016,-0.074,0.046,-0.016,-0.093,-0.078,-0.011,-0.041
HD27894,4952,4.39,0.20,0.400,0.270,0.410,0.258,0.144,0.640,0.277,0.361,0.235,0.700,0.197,0.193,0.195,0.459,0.244
HD28185,5667,4.42,0.21,0.375,0.230,0.285,0.261,0.164,0.303,0.275,0.243,0.262,0.329,0.223,0.163,0.310,0.324,0.279
HD28254,5653,4.15,0.36,0.525,0.380,0.455,0.371,0.279,0.453,0.430,0.384,0.443,0.481,0.377,0.237,0.473,0.514,0.402
HD283,5157,4.51,-0.54,-0.495,-0.387,-0.370,-0.474,-0.442,-0.403,-0.465,-0.316,-0.485,-0.283,-0.498,-0.510,-0.628,-0.468,-0.551
HD28471,5745,4.37,-0.05,-0.030,-0.007,0.010,-0.026,-0.028,-0.010,0.013,-0.002,-0.040,-0.033,-0.055,-0.090,-0.080,-0.027,-0.058
HD28701,5710,4.41,-0.32,-0.220,-0.073,-0.075,-0.148,-0.144,-0.160,-0.128,-0.078,-0.073,-0.178,-0.299,-0.277,-0.520,-0.178,-0.285
HD28807,6602,4.67,0.06,0.030,-0.043,-0.345,0.013,0.048,0.290,0.330,0.146,0.150,0.105,0.099,0.053,0.055,0.017,0.024
HD28821,5660,4.38,-0.12,-0.150,-0.040,-0.005,-0.084,-0.068,-0.063,-0.047,-0.032,-0.042,-0.073,-0.113,-0.103,-0.200,-0.114,-0.146
HD28969,6255,4.68,-0.01,-0.040,-0.023,-0.355,-0.082,-0.010,0.180,0.103,0.028,0.020,0.033,0.009,-0.020,0.025,-0.042,-0.071
HD290038,5006,4.42,0.01,0.105,-0.050,0.095,0.021,-0.023,0.193,-0.042,0.125,0.068,0.446,0.002,-0.003,0.023,0.169,0.040
HD290327,5505,4.41,-0.14,-0.085,-0.087,-0.060,-0.091,-0.108,-0.090,-0.137,-0.065,-0.115,-0.051,-0.119,-0.110,-0.155,-0.081,-0.137
HD29137,5768,4.28,0.30,0.415,0.327,0.345,0.324,0.260,0.407,0.375,0.323,0.335,0.388,0.303,0.250,0.375,0.389,0.335
HD291763,4987,4.50,-0.61,-0.360,-0.343,-0.210,-0.450,-0.404,-0.157,-0.448,-0.127,-0.455,0.021,-0.502,-0.547,-0.698,-0.413,-0.568
HD29263,5780,4.35,0.03,0.085,0.070,0.080,0.053,0.012,0.093,0.108,0.062,0.112,0.065,0.046,0.030,0.038,0.089,0.041
HD29303,5819,4.52,-0.12,-0.135,-0.197,-0.170,-0.160,-0.078,-0.193,-0.157,-0.093,-0.158,-0.181,-0.124,-0.103,-0.185,-0.197,-0.172
HD29428,5743,4.48,-0.06,-0.080,-0.077,0.360,-0.105,-0.043,-0.033,-0.042,-0.019,-0.047,-0.051,-0.063,-0.097,-0.083,-0.070,-0.101
HD297396,4717,4.30,0.06,0.370,0.023,0.370,0.064,0.154,0.723,-0.003,0.381,0.028,0.674,0.115,-0.073,0.080,0.293,0.119
HD29980,6019,4.71,0.12,0.080,0.075,0.055,0.097,0.143,0.060,0.015,0.143,0.107,0.229,0.174,0.150,0.088,0.117,0.092
HD29985,4678,4.39,-0.22,0.420,-0.280,0.075,-0.259,0.067,0.680,-0.183,0.188,-0.225,0.489,-0.113,-0.523,-0.250,0.004,-0.172
HD30053,6139,4.51,-0.22,-0.210,-0.220,-0.480,-0.240,-0.181,-0.013,-0.187,-0.187,-0.183,-0.224,-0.198,-0.233,-0.290,-0.180,-0.239
HD30177,5601,4.34,0.37,0.500,0.427,0.445,0.378,0.285,0.443,0.510,0.385,0.368,0.534,0.366,0.343,0.515,0.543,0.437
HD30278,5394,4.39,-0.17,-0.195,-0.113,-0.070,-0.137,-0.138,-0.120,-0.147,-0.062,-0.132,-0.041,-0.154,-0.190,-0.198,-0.150,-0.197
HD30306,5529,4.32,0.17,0.195,0.233,0.245,0.201,0.124,0.217,0.165,0.220,0.228,0.284,0.192,0.157,0.230,0.240,0.190
HD30523,4662,4.57,-0.16,-0.090,-0.243,-0.055,-0.219,-0.190,0.333,-0.250,0.065,-0.220,0.338,-0.120,-0.423,-0.313,-0.099,-0.166
HD30669,5400,4.37,0.13,0.125,0.140,0.250,0.112,0.113,0.203,0.192,0.237,0.147,0.354,0.148,0.097,0.188,0.229,0.143
HD30858,5182,4.45,-0.13,-0.100,-0.137,-0.065,-0.135,-0.099,-0.043,-0.200,-0.007,-0.162,0.064,-0.080,-0.123,-0.143,-0.091,-0.166
HD309701,4814,4.39,-0.30,-0.170,-0.263,-0.175,-0.305,-0.153,0.013,-0.328,-0.017,-0.280,0.275,-0.220,-0.433,-0.340,-0.236,-0.315
HD31103,6078,4.49,0.09,0.085,0.050,0.055,0.083,0.109,0.123,0.087,0.093,0.077,0.066,0.103,0.097,0.012,0.061,0.079
HD31128,6096,4.90,-1.39,99.99,-1.140,99.99,-1.163,-1.098,99.99,-1.340,-1.046,-1.045,99.99,-1.431,-1.370,-1.800,99.99,-1.428
HD31527,5898,4.45,-0.17,-0.130,-0.120,-0.155,-0.135,-0.118,-0.083,-0.130,-0.115,-0.123,-0.184,-0.175,-0.153,-0.250,-0.155,-0.180
HD31532,5896,4.07,-0.08,-0.065,-0.020,-0.010,-0.054,-0.024,-0.067,0.015,-0.025,0.030,-0.061,-0.098,-0.097,-0.123,-0.093,-0.077
HD31560,4751,4.33,-0.07,0.115,-0.130,0.120,-0.047,0.039,0.430,-0.112,0.158,-0.140,0.484,-0.010,-0.157,-0.115,0.066,-0.041
HD31822,6042,4.57,-0.19,-0.250,-0.190,-0.265,-0.182,-0.138,-0.153,-0.192,-0.147,-0.152,-0.243,-0.193,-0.160,-0.298,-0.251,-0.241
HD3220,5846,4.51,-0.22,-0.240,-0.187,-0.245,-0.206,-0.173,-0.227,-0.205,-0.161,-0.180,-0.245,-0.213,-0.210,-0.310,-0.261,-0.270
HD3229,6583,4.14,-0.09,-0.075,-0.017,-0.260,-0.085,-0.018,-0.020,-0.072,-0.022,-0.072,-0.054,-0.107,-0.097,-0.175,-0.080,-0.147
HD323631,4984,4.44,-0.28,-0.235,-0.277,-0.215,-0.291,-0.237,-0.130,-0.313,-0.113,-0.307,0.140,-0.234,-0.313,-0.338,-0.221,-0.299
HD324492,4962,4.15,-0.27,-0.050,-0.027,0.145,-0.172,-0.095,0.173,-0.232,0.153,-0.248,0.438,-0.107,-0.363,-0.195,-0.030,-0.204
HD326267,4719,4.31,-0.26,-0.055,-0.057,0.170,-0.278,-0.080,0.543,-0.195,0.189,-0.210,0.521,-0.145,-0.187,-0.420,-0.047,-0.226
HD32724,5818,4.26,-0.17,-0.155,-0.067,-0.075,-0.106,-0.093,-0.103,-0.063,-0.073,-0.043,-0.150,-0.174,-0.167,-0.290,-0.157,-0.192
HD32804,5910,4.53,0.06,-0.010,0.060,-0.015,0.025,0.100,0.070,0.033,0.085,0.047,0.073,0.097,0.067,-0.035,-0.001,0.006
HD329788,5151,4.35,-0.08,0.045,-0.040,0.325,-0.026,-0.043,0.157,0.062,0.177,-0.060,0.378,-0.064,-0.047,-0.078,0.067,-0.068
HD330075,5025,4.32,0.03,0.190,0.123,0.260,0.100,0.034,0.420,0.098,0.274,0.045,0.595,0.064,-0.043,0.060,0.259,0.065
HD33081,6399,4.56,-0.16,-0.090,0.010,-0.115,-0.033,-0.118,0.175,-0.045,-0.091,-0.070,-0.204,-0.154,-0.130,-0.260,-0.092,-0.178
HD33473A,5740,3.97,-0.13,-0.130,-0.090,-0.085,-0.106,-0.075,-0.123,-0.055,-0.092,-0.037,-0.135,-0.147,-0.113,-0.220,-0.166,-0.152
HD33725,5274,4.41,-0.17,-0.110,-0.133,-0.090,-0.140,-0.148,-0.113,-0.205,-0.065,-0.193,0.027,-0.143,-0.170,-0.150,-0.114,-0.165
HD33811,5554,4.39,0.30,0.400,0.280,0.365,0.276,0.244,0.363,0.408,0.357,0.333,0.489,0.304,0.333,0.463,0.466,0.373
HD33822,5726,4.29,0.26,0.430,0.350,0.305,0.277,0.210,0.323,0.357,0.267,0.273,0.351,0.246,0.203,0.320,0.397,0.311
HD34327,5883,4.20,-0.06,-0.015,-0.037,-0.035,-0.018,-0.037,0.017,0.018,-0.015,0.008,-0.053,-0.072,-0.067,-0.090,-0.081,-0.068
HD34449,5848,4.50,-0.09,-0.125,-0.087,-0.115,-0.098,-0.082,-0.097,-0.102,-0.070,-0.076,-0.105,-0.082,-0.100,-0.175,-0.120,-0.132
HD34688,5169,4.44,-0.20,-0.150,-0.163,-0.095,-0.159,-0.193,-0.107,-0.212,-0.085,-0.173,0.064,-0.187,-0.197,-0.203,-0.153,-0.209
HD3569,5155,4.54,-0.32,-0.260,-0.307,-0.230,-0.276,-0.304,-0.210,-0.307,-0.151,-0.283,-0.040,-0.295,-0.293,-0.353,-0.259,-0.331
HD35854,4928,4.46,-0.13,-0.065,-0.133,-0.045,-0.142,-0.123,0.093,-0.180,0.040,-0.133,0.324,-0.117,-0.113,-0.133,-0.064,-0.126
HD36003,4647,4.31,-0.20,0.030,-0.123,0.190,-0.166,-0.119,0.590,-0.128,0.210,-0.052,0.451,-0.109,-0.235,-0.218,-0.007,-0.180
HD36051,6118,4.63,-0.08,-0.160,-0.127,-0.325,-0.110,-0.061,-0.090,-0.122,-0.068,-0.080,-0.165,-0.086,-0.060,-0.163,-0.177,-0.148
HD361,5913,4.60,-0.12,-0.155,-0.113,-0.160,-0.113,-0.080,-0.057,-0.117,-0.065,-0.080,-0.123,-0.096,-0.120,-0.155,-0.159,-0.155
HD36108,5916,4.33,-0.21,-0.225,-0.153,-0.170,-0.175,-0.142,-0.153,-0.135,-0.152,-0.132,-0.239,-0.208,-0.203,-0.330,-0.243,-0.240
HD36179,5327,4.45,-0.08,-0.085,-0.090,-0.125,-0.103,-0.037,-0.037,-0.108,0.032,-0.093,0.140,-0.059,-0.067,-0.075,-0.027,-0.087
HD36379,6030,4.30,-0.17,-0.125,-0.127,-0.185,-0.123,-0.118,-0.100,-0.110,-0.137,-0.112,-0.194,-0.179,-0.150,-0.228,-0.191,-0.181
HD37226,6178,4.16,-0.12,-0.085,-0.093,-0.155,-0.081,-0.038,-0.030,-0.033,-0.053,-0.022,-0.115,-0.146,-0.090,-0.215,-0.163,-0.147
HD37548,5950,4.26,-0.04,0.085,-0.013,0.010,-0.011,-0.028,0.050,0.017,-0.033,-0.018,-0.026,-0.055,-0.027,-0.065,0.007,-0.032
HD37962,5718,4.48,-0.20,-0.235,-0.193,-0.210,-0.192,-0.157,-0.210,-0.223,-0.157,-0.208,-0.206,-0.186,-0.183,-0.278,-0.246,-0.252
HD37986,5507,4.29,0.26,0.420,0.303,0.305,0.273,0.214,0.350,0.303,0.300,0.218,0.438,0.266,0.220,0.390,0.404,0.316
HD37990,6215,4.56,0.00,0.040,-0.080,-0.125,-0.003,0.031,-0.030,-0.018,-0.018,-0.005,-0.073,0.015,0.043,-0.065,-0.066,-0.053
HD38078,5651,4.47,-0.29,-0.245,-0.217,-0.250,-0.256,-0.215,-0.290,-0.222,-0.200,-0.247,-0.298,-0.273,-0.283,-0.353,-0.257,-0.302
HD3808,5572,4.46,-0.17,-0.175,-0.133,-0.080,-0.153,-0.113,-0.137,-0.193,-0.095,-0.158,-0.114,-0.135,-0.127,-0.243,-0.161,-0.204
HD3823,6022,4.31,-0.28,-0.235,-0.177,-0.250,-0.204,-0.194,-0.160,-0.183,-0.185,-0.188,-0.266,-0.277,-0.260,-0.360,-0.247,-0.282
HD38265,5549,4.43,-0.14,-0.130,-0.057,-0.035,-0.106,-0.096,-0.100,-0.078,-0.065,-0.102,-0.080,-0.141,-0.163,-0.163,-0.099,-0.145
HD38277,5871,4.34,-0.07,-0.100,-0.010,-0.050,-0.048,-0.038,-0.017,-0.018,-0.040,-0.038,-0.088,-0.064,-0.043,-0.125,-0.094,-0.091
HD38355,5314,4.35,0.09,0.200,0.100,0.180,0.117,0.048,0.163,0.057,0.150,0.023,0.346,0.111,0.170,0.180,0.228,0.113
HD38382,6082,4.45,0.03,0.030,0.037,-0.025,0.018,0.051,0.027,0.042,0.017,0.013,-0.021,0.021,0.023,-0.005,-0.021,0.008
HD38385,7212,4.61,0.09,0.240,-0.087,-0.150,0.020,0.138,99.99,0.150,0.186,0.127,99.99,0.104,0.053,0.050,0.027,0.036
HD38510,5914,4.32,-0.81,-0.670,-0.507,-0.650,-0.571,-0.561,99.99,-0.654,-0.520,-0.518,-0.673,-0.816,-0.763,-1.023,-0.673,-0.782
HD38772,6106,4.37,-0.23,-0.210,-0.177,-0.250,-0.202,-0.123,-0.160,-0.147,-0.165,-0.150,-0.239,-0.248,-0.210,-0.350,-0.208,-0.270
HD38858,5733,4.51,-0.22,-0.210,-0.183,-0.220,-0.191,-0.180,-0.167,-0.200,-0.160,-0.187,-0.218,-0.216,-0.237,-0.283,-0.231,-0.245
HD38973,6016,4.42,0.05,0.085,0.030,0.015,0.058,0.063,0.103,0.052,0.049,0.060,0.025,0.049,0.043,0.040,0.039,0.057
HD39091,6003,4.42,0.09,0.140,0.117,0.070,0.103,0.108,0.147,0.117,0.101,0.088,0.076,0.091,0.053,0.113,0.090,0.103
HD39194,5205,4.53,-0.61,-0.495,-0.313,-0.300,-0.437,-0.423,-0.363,-0.458,-0.240,-0.398,-0.269,-0.538,-0.573,-0.755,-0.461,-0.572
HD39427,5682,4.52,-0.18,-0.205,-0.180,-0.205,-0.176,-0.161,-0.187,-0.220,-0.130,-0.175,-0.156,-0.168,-0.140,-0.223,-0.237,-0.229
HD3964,5729,4.50,0.05,0.060,0.033,0.035,0.032,0.047,0.083,0.052,0.061,0.057,0.094,0.061,0.057,0.128,0.099,0.053
HD40105,5137,3.85,0.06,0.250,0.133,0.200,0.096,0.055,0.200,0.115,0.186,0.203,0.400,0.076,0.070,0.173,0.234,0.083
HD4021,5831,4.71,0.02,-0.040,-0.063,-0.160,0.012,0.101,0.083,-0.048,0.080,0.012,0.105,0.054,-0.023,-0.048,-0.071,-0.037
HD40307,4977,4.47,-0.31,-0.200,-0.150,-0.080,-0.316,-0.137,0.100,-0.325,0.050,-0.355,0.298,-0.192,-0.385,-0.293,-0.211,-0.325
HD40397,5527,4.39,-0.13,-0.055,0.020,0.055,-0.053,-0.074,0.000,-0.023,0.036,-0.018,0.029,-0.099,-0.107,-0.168,-0.031,-0.116
HD40483,6371,4.39,-0.06,-0.025,-0.063,-0.200,-0.045,-0.018,-0.010,0.010,0.018,0.055,-0.047,-0.097,-0.037,-0.138,-0.096,-0.092
HD40503,4953,4.29,-0.03,0.375,-0.040,-0.125,-0.052,0.011,0.010,-0.267,0.043,-0.097,0.284,0.009,0.107,-0.010,-0.034,-0.080
HD40865,5719,4.50,-0.38,-0.380,-0.273,-0.275,-0.311,-0.298,-0.283,-0.318,-0.269,-0.283,-0.353,-0.378,-0.347,-0.483,-0.374,-0.401
HD41087,5562,4.52,-0.13,-0.200,-0.163,-0.220,-0.157,-0.070,-0.173,-0.210,-0.091,-0.128,-0.095,-0.102,-0.110,-0.203,-0.194,-0.188
HD41248,5713,4.49,-0.37,-0.310,-0.297,-0.340,-0.332,-0.312,-0.320,-0.360,-0.315,-0.325,-0.393,-0.357,-0.343,-0.463,-0.374,-0.382
HD41323,5756,4.56,-0.31,-0.320,-0.280,-0.345,-0.275,-0.253,-0.297,-0.297,-0.263,-0.260,-0.329,-0.309,-0.277,-0.418,-0.344,-0.352
HD4208,5599,4.44,-0.28,-0.255,-0.210,-0.180,-0.234,-0.261,-0.230,-0.222,-0.210,-0.232,-0.249,-0.277,-0.293,-0.333,-0.259,-0.299
HD42505,4738,4.40,-0.22,-0.020,-0.243,-0.015,-0.276,-0.032,0.390,-0.300,0.152,-0.173,0.430,-0.116,-0.380,-0.285,-0.076,-0.226
HD4307,5812,4.10,-0.23,-0.220,-0.117,-0.180,-0.169,-0.149,-0.160,-0.143,-0.157,-0.120,-0.233,-0.234,-0.180,-0.303,-0.219,-0.242
HD4308,5644,4.38,-0.34,-0.230,-0.087,-0.075,-0.171,-0.183,-0.150,-0.173,-0.116,-0.127,-0.193,-0.313,-0.313,-0.495,-0.206,-0.296
HD43197,5449,4.30,0.36,0.545,0.373,0.465,0.382,0.273,0.457,0.483,0.393,0.320,0.579,0.373,0.313,0.493,0.557,0.433
HD44120,6052,4.25,0.12,0.180,0.113,0.115,0.140,0.138,0.150,0.185,0.119,0.158,0.109,0.110,0.207,0.138,0.136,0.142
HD44219,5766,4.20,0.04,0.020,0.087,0.090,0.050,0.058,0.067,0.077,0.069,0.080,0.034,0.042,0.023,0.023,0.039,0.018
HD44420,5818,4.37,0.29,0.495,0.320,0.350,0.346,0.230,0.407,0.388,0.310,0.284,0.374,0.304,0.220,0.415,0.427,0.372
HD44447,5999,4.37,-0.22,-0.190,-0.127,-0.230,-0.176,-0.170,-0.160,-0.157,-0.178,-0.163,-0.238,-0.233,-0.180,-0.325,-0.228,-0.235
HD4457,5015,4.53,-0.37,-0.235,-0.293,-0.225,-0.320,-0.301,-0.103,-0.400,-0.175,-0.398,0.065,-0.315,-0.410,-0.430,-0.304,-0.360
HD44573,5071,4.48,-0.07,-0.015,-0.080,-0.030,-0.066,-0.033,0.067,-0.100,0.047,-0.127,0.289,-0.025,-0.077,-0.080,-0.019,-0.078
HD44594,5840,4.38,0.15,0.195,0.180,0.185,0.177,0.157,0.220,0.210,0.175,0.162,0.188,0.158,0.093,0.180,0.187,0.179
HD44804,5366,4.48,0.03,0.145,0.003,0.030,0.061,0.036,0.057,0.002,0.081,0.002,0.165,0.060,0.067,0.043,0.020,0.008
HD45184,5869,4.47,0.04,0.050,0.077,0.035,0.045,0.064,0.093,0.050,0.074,0.072,0.049,0.052,0.000,0.000,0.047,0.039
HD45289,5717,4.32,-0.02,0.020,0.087,0.110,0.039,0.033,0.073,0.105,0.082,0.104,0.051,-0.008,-0.023,-0.082,0.054,-0.011
HD45364,5434,4.38,-0.17,-0.080,-0.080,-0.065,-0.114,-0.135,-0.103,-0.138,-0.084,-0.163,-0.049,-0.143,-0.173,-0.143,-0.111,-0.155
HD457,6089,4.43,0.34,0.525,0.313,0.335,0.357,0.291,0.387,0.395,0.336,0.350,0.379,0.328,0.243,0.430,0.423,0.416
HD4597,6025,4.43,-0.39,-0.345,-0.300,-0.530,-0.339,-0.298,-0.370,-0.273,-0.284,-0.313,-0.396,-0.397,-0.367,-0.525,-0.381,-0.415
HD45977,4689,4.30,0.03,0.515,-0.340,0.210,0.049,0.113,0.623,-0.123,0.290,-0.010,0.600,0.120,-0.103,0.010,0.169,0.057
HD47186,5675,4.36,0.23,0.470,0.280,0.285,0.253,0.188,0.313,0.297,0.267,0.255,0.321,0.252,0.233,0.335,0.347,0.304
HD48115,5825,4.48,-0.19,-0.230,-0.173,-0.180,-0.186,-0.132,-0.130,-0.208,-0.142,-0.178,-0.214,-0.179,-0.190,-0.285,-0.233,-0.246
HD4838,4704,4.63,-0.21,-0.100,-0.230,-0.120,-0.258,-0.075,0.350,-0.315,0.072,-0.082,0.393,-0.144,-0.387,-0.380,-0.113,-0.220
