Star,Teff,logg,[Fe/H],[Na/H],[Mg/H],[Al/H],[Si/H],[Ca/H],[ScI/H],[ScII/H],[TiI/H],[TiII/H],[V/H],[CrI/H],[CrII/H],[Mn/H],[Co/H],[Ni/H]
HD208272,5199,4.42,-0.08,-0.060,-0.063,-0.050,-0.061,-0.011,-0.027,-0.145,-0.007,-0.062,0.103,-0.044,-0.087,-0.113,-0.062,-0.112
HD208487,6146,4.48,0.08,0.075,0.080,0.025,0.084,0.102,0.120,0.085,0.096,0.097,0.054,0.071,0.040,0.043,0.044,0.063
HD20852,6813,4.76,-0.35,-0.345,-0.360,99.99,-0.265,-0.302,99.99,-0.262,-0.251,-0.207,99.99,-0.372,-0.330,-0.505,-0.410,-0.373
HD208573,4910,4.41,0.00,0.160,0.040,0.150,0.017,0.004,0.320,-0.060,0.163,-0.065,0.484,0.035,-0.047,0.010,0.147,0.055
HD208672,5986,4.61,0.13,0.065,0.083,0.055,0.094,0.136,0.127,0.152,0.177,0.113,0.151,0.162,0.140,0.168,0.140,0.106
HD20868,4802,4.26,0.05,0.260,0.193,0.365,0.059,0.071,0.567,0.002,0.265,-0.023,0.616,0.073,-0.027,0.072,0.247,0.092
HD208704,5826,4.38,-0.09,-0.100,-0.073,-0.065,-0.079,-0.044,-0.087,-0.063,-0.067,-0.070,-0.103,-0.084,-0.090,-0.150,-0.103,-0.112
HD209100,4754,4.45,-0.20,-0.075,-0.123,-0.055,-0.142,-0.054,0.280,-0.237,0.029,-0.220,0.325,-0.110,-0.267,-0.255,-0.076,-0.170
HD209449,5854,4.16,0.41,0.635,0.443,0.480,0.475,0.359,0.523,0.527,0.443,0.447,0.520,0.421,0.363,0.548,0.591,0.509
HD209458,6118,4.50,0.03,0.010,0.180,0.040,0.138,0.185,0.710,0.107,0.220,0.240,0.472,0.117,0.017,-0.068,0.099,0.247
HD209566,5500,4.38,0.12,0.235,0.157,0.195,0.142,0.096,0.167,0.178,0.175,0.138,0.269,0.136,0.117,0.205,0.236,0.162
HD209742,5137,4.49,-0.16,-0.115,-0.143,-0.085,-0.139,-0.112,-0.047,-0.212,-0.050,-0.152,0.140,-0.142,-0.187,-0.170,-0.085,-0.166
HD21019,5468,3.93,-0.45,-0.390,-0.290,-0.330,-0.353,-0.356,-0.373,-0.328,-0.310,-0.308,-0.396,-0.441,-0.403,-0.563,-0.391,-0.450
